unit,unit_kind,family,developer,n_members,members,uids,N_B,D_T,release_dates,year,other_family_members,source_keys,source_urls
B:cerebras/btlm-3b-8k-base,singleton,BTLM,Cerebras,1,btlm-3b-8k-base,B:cerebras/btlm-3b-8k-base,3,0.627,2023-09-20,2023,,btlm_blog,https://www.cerebras.ai/blog/btlm-3b-8k-7b-performance-in-a-3-billion-parameter-model
B:tiiuae/falcon-11B,singleton,Falcon2,TII,1,falcon-11B,B:tiiuae/falcon-11B,11.1,5.5,2024-05-09,2024,,falcon2_news,https://falconllm.tii.ae/falcon-2.html
B:tiiuae/Falcon3-7B-Base,singleton,Falcon3,TII,1,Falcon3-7B-Base,B:tiiuae/Falcon3-7B-Base,7.46,14,2024-12-17,2024,,falcon3_blog,https://huggingface.co/blog/falcon3
B:google/gemma-2-27b,singleton,Gemma-2,Google,1,gemma-2-27b,B:google/gemma-2-27b,27.2,13,2024-06-24,2024,,gemma2_blog,https://blog.google/technology/developers/google-gemma-2/
B:h2oai/h2o-danube-1.8b-base,singleton,H2O-Danube1,H2O.ai,1,h2o-danube-1.8b-base,B:h2oai/h2o-danube-1.8b-base,1.83,1,2024-01-23,2024,,danube_card,https://huggingface.co/h2oai/h2o-danube-1.8b-base/raw/main/README.md
B:m-a-p/neo_7b,singleton,MAP-Neo,M-A-P,1,neo_7b,B:m-a-p/neo_7b,7.79,4.42,2024-07-10,2024,,neo_readme,https://raw.githubusercontent.com/multimodal-art-projection/MAP-NEO/main/README.md
B:marin-community/marin-8b-base,singleton,Marin,Marin,1,marin-8b-base,B:marin-community/marin-8b-base,8.03,12.7,2025-05-19,2025,,marin_card,https://huggingface.co/marin-community/marin-8b-base/raw/main/README.md
B:allenai/OLMo-7B-0424-hf,singleton,OLMo-1.7,AI2,1,OLMo-7B-0424-hf,B:allenai/OLMo-7B-0424-hf,6.89,2.05,2024-04-17,2024,,,
B:microsoft/phi-1_5,singleton,Phi-1.5,Microsoft,1,phi-1_5,B:microsoft/phi-1_5,1.42,0.15,2023-09-11,2023,,phi15_card,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md
B:microsoft/phi-2,singleton,Phi-2,Microsoft,1,phi-2,B:microsoft/phi-2,2.78,1.4,2023-12-12,2023,,phi2_blog,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/
B:HuggingFaceTB/SmolLM3-3B-Base,singleton,SmolLM3,Hugging Face,1,SmolLM3-3B-Base,B:HuggingFaceTB/SmolLM3-3B-Base,3.08,11.2,2025-06-19,2025,,smollm3_blog,https://huggingface.co/blog/smollm3
B:stabilityai/stablelm-2-1_6b,singleton,StableLM-2,Stability AI,1,stablelm-2-1_6b,B:stabilityai/stablelm-2-1_6b,1.64,2,2024-01-18,2024,,stablelm2_report,https://arxiv.org/pdf/2402.17834
B:stabilityai/stablelm-3b-4e1t,singleton,StableLM-3B-4E1T,Stability AI,1,stablelm-3b-4e1t,B:stabilityai/stablelm-3b-4e1t,2.8,4,2023-09-29,2023,,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md
B:stabilityai/stablelm-base-alpha-7b-v2,singleton,StableLM-alpha-v2,Stability AI,1,stablelm-base-alpha-7b-v2,B:stabilityai/stablelm-base-alpha-7b-v2,6.89,1.1,2023-08-05,2023,,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md
B:TinyLlama/TinyLlama_v1.1,singleton,TinyLlama,TinyLlama,1,TinyLlama_v1.1,B:TinyLlama/TinyLlama_v1.1,1.1,2,2024-03-09,2024,,tinyllama_readme,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md
B:tiiuae/falcon-180B,size-specific member,Falcon,TII,1,falcon-180B,B:tiiuae/falcon-180B,180,3.5,2023-09-06,2023,falcon-40b (D = 1T); falcon-7b (D = 1.5T),falcon_report; falcon180b_blog,https://arxiv.org/pdf/2311.16867; https://huggingface.co/blog/falcon-180b
B:tiiuae/falcon-40b,size-specific member,Falcon,TII,1,falcon-40b,B:tiiuae/falcon-40b,41.8,1,2023-03-15,2023,falcon-180B (D = 3.5T); falcon-7b (D = 1.5T),falcon_report; falcon180b_blog,https://arxiv.org/pdf/2311.16867; https://huggingface.co/blog/falcon-180b
B:tiiuae/falcon-7b,size-specific member,Falcon,TII,1,falcon-7b,B:tiiuae/falcon-7b,7.22,1.5,2023-04-24,2023,falcon-180B (D = 3.5T); falcon-40b (D = 1T),falcon_report; falcon180b_blog,https://arxiv.org/pdf/2311.16867; https://huggingface.co/blog/falcon-180b
B:google/gemma-2b,size-specific member,Gemma,Google,1,gemma-2b,B:google/gemma-2b,2.51,3,2024-02-21,2024,gemma-7b (D = 6T),gemma_report; gemma_blog,https://arxiv.org/pdf/2403.08295; https://blog.google/technology/developers/gemma-open-models/
B:google/gemma-7b,size-specific member,Gemma,Google,1,gemma-7b,B:google/gemma-7b,8.54,6,2024-02-21,2024,gemma-2b (D = 3T),gemma_report; gemma_blog,https://arxiv.org/pdf/2403.08295; https://blog.google/technology/developers/gemma-open-models/
B:h2oai/h2o-danube3-4b-base,size-specific member,H2O-Danube3,H2O.ai,1,h2o-danube3-4b-base,B:h2oai/h2o-danube3-4b-base,3.96,6,2024-07-04,2024,h2o-danube3-500m-base (D = 4T),danube3_report; danube3_card,https://arxiv.org/pdf/2407.09276; https://huggingface.co/h2oai/h2o-danube3-4b-base/raw/main/README.md
B:h2oai/h2o-danube3-500m-base,size-specific member,H2O-Danube3,H2O.ai,1,h2o-danube3-500m-base,B:h2oai/h2o-danube3-500m-base,0.514,4,2024-07-04,2024,h2o-danube3-4b-base (D = 6T),danube3_report; danube3_card,https://arxiv.org/pdf/2407.09276; https://huggingface.co/h2oai/h2o-danube3-4b-base/raw/main/README.md
B:allenai/OLMo-1B-hf,size-specific member,OLMo-1,AI2,1,OLMo-1B-hf,B:allenai/OLMo-1B-hf,1.18,3,2024-02-01,2024,OLMo-7B-hf (D = 2.5T),olmo_report,https://arxiv.org/pdf/2402.00838
B:allenai/OLMo-7B-hf,size-specific member,OLMo-1,AI2,1,OLMo-7B-hf,B:allenai/OLMo-7B-hf,6.89,2.5,2024-02-01,2024,OLMo-1B-hf (D = 3T),olmo_report,https://arxiv.org/pdf/2402.00838
B:allenai/OLMo-2-0325-32B,size-specific member,OLMo-2,AI2,1,OLMo-2-0325-32B,B:allenai/OLMo-2-0325-32B,32.2,6.15,2025-03-13,2025,OLMo-2-0425-1B (D = 4.05T); OLMo-2-1124-7B (D = 4.05T); OLMo-2-1124-13B (D = 5.15T),olmo2_report; olmo2_blog; olmo2_32b_blog,https://arxiv.org/pdf/2501.00656; https://allenai.org/blog/olmo2; https://allenai.org/blog/olmo2-32B
B:allenai/OLMo-2-1124-13B,size-specific member,OLMo-2,AI2,1,OLMo-2-1124-13B,B:allenai/OLMo-2-1124-13B,13.7,5.15,2024-12-31,2024,OLMo-2-0425-1B (D = 4.05T); OLMo-2-1124-7B (D = 4.05T); OLMo-2-0325-32B (D = 6.15T),olmo2_report; olmo2_blog; olmo2_32b_blog,https://arxiv.org/pdf/2501.00656; https://allenai.org/blog/olmo2; https://allenai.org/blog/olmo2-32B
B:Qwen/Qwen-7B,size-specific member,Qwen,Alibaba,1,Qwen-7B,B:Qwen/Qwen-7B,7.72,2.4,2023-09-28,2023,Qwen-72B (D = 3T); Qwen-14B (D = 3T),qwen_report; qwen_readme,https://arxiv.org/pdf/2309.16609; https://raw.githubusercontent.com/QwenLM/Qwen/main/README.md
B:Qwen/Qwen2-0.5B,size-specific member,Qwen2,Alibaba,1,Qwen2-0.5B,B:Qwen/Qwen2-0.5B,0.494,12,2024-06-07,2024,Qwen2-72B (D = 7T); Qwen2-7B (D = 7T); Qwen2-1.5B (D = 7T),qwen2_report; qwen2_blog,https://arxiv.org/pdf/2407.10671; https://qwenlm.github.io/blog/qwen2/
B:HuggingFaceTB/SmolLM-1.7B,size-specific member,SmolLM,Hugging Face,1,SmolLM-1.7B,B:HuggingFaceTB/SmolLM-1.7B,1.71,1,2024-07-16,2024,SmolLM-135M (D = 0.6T); SmolLM-360M (D = 0.6T),smollm_blog,https://huggingface.co/blog/smollm
B:HuggingFaceTB/SmolLM2-1.7B,size-specific member,SmolLM2,Hugging Face,1,SmolLM2-1.7B,B:HuggingFaceTB/SmolLM2-1.7B,1.71,11,2024-10-30,2024,SmolLM2-135M (D = 2T); SmolLM2-360M (D = 4T),smollm2_report; smollm2_card,https://arxiv.org/pdf/2502.02737; https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md
B:HuggingFaceTB/SmolLM2-135M,size-specific member,SmolLM2,Hugging Face,1,SmolLM2-135M,B:HuggingFaceTB/SmolLM2-135M,0.135,2,2024-10-31,2024,SmolLM2-360M (D = 4T); SmolLM2-1.7B (D = 11T),smollm2_report; smollm2_card,https://arxiv.org/pdf/2502.02737; https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md
B:HuggingFaceTB/SmolLM2-360M,size-specific member,SmolLM2,Hugging Face,1,SmolLM2-360M,B:HuggingFaceTB/SmolLM2-360M,0.362,4,2024-10-31,2024,SmolLM2-135M (D = 2T); SmolLM2-1.7B (D = 11T),smollm2_report; smollm2_card,https://arxiv.org/pdf/2502.02737; https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md
