unit,unit_kind,family,developer,members,D_margin,D_rule,N_margin,N_rule,reading,own_cap,own_cap_rule,R_CO,R_INF,R_DEV,R_NONE,deployment_rationale,synthetic,n_quotes,protocol_version,coder,note,coder_A_D_margin,coder_B_D_margin,coder_A_D_rule,coder_B_D_rule,coder_A_N_margin,coder_B_N_margin,coder_A_N_rule,coder_B_N_rule,coder_A_reading,coder_B_reading,coder_A_own_cap,coder_B_own_cap,coder_A_R_CO,coder_B_R_CO,coder_A_R_INF,coder_B_R_INF,coder_A_R_DEV,coder_B_R_DEV,coder_A_R_NONE,coder_B_R_NONE,coder_A_synthetic,coder_B_synthetic,resolution,resolution_rule,resolved_fields,quote_role_1,source_1,quote_1,url_1,retrieved_1,quote_role_2,source_2,quote_2,url_2,retrieved_2,quote_role_3,source_3,quote_3,url_3,retrieved_3,quote_role_4,source_4,quote_4,url_4,retrieved_4,quote_role_5,source_5,quote_5,url_5,retrieved_5,quote_role_6,source_6,quote_6,url_6,retrieved_6,quote_role_7,source_7,quote_7,url_7,retrieved_7
Qwen#2,common-budget,Qwen,Alibaba,Qwen-14B; Qwen-72B,cap or choice,size only,free,,cap or choice,0,,0,0,0,1,0,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),Qwen-14B (3.0T) and Qwen-72B (3T) trained on the whole stated dataset; no statement of availability or choice.,cap or choice,cap or choice,size only,size only,free,free,,not stated,cap or choice,cap or choice,0,0,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,D,qwen_report,"Finally, we have built a dataset of up to 3 trillion tokens.",https://arxiv.org/pdf/2309.16609,2026-09-24T18:18:21,D,qwen_readme,which are trained on 3T tokens and support 32k context,https://raw.githubusercontent.com/QwenLM/Qwen/main/README.md,2026-09-24T18:26:22,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2#1,common-budget,Qwen2,Alibaba,Qwen2-1.5B; Qwen2-7B; Qwen2-72B,choice,K1; K2,menu,portable devices (1.5B),menu,0,,0,0,1,0,1,1,5,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"A larger (12T) dataset existed and 7T was chosen for cost (K1, K2); the 1.5B's size targets portable devices.",choice,choice,K1; K2,K1; K3,menu,menu,portable devices (1.5B),"consumer devices (smartphones, earphones, smart glasses) for Qwen2-1.5B",menu,menu,0,0,0,0,0,0,1,1,0,0,1,1,agreed (coded identically by A and B),,,D,qwen2_report,An attempt to further relax the quality threshold resulted in a 12 trillion token dataset.,https://arxiv.org/pdf/2407.10671,2026-09-24T18:18:19,D,qwen2_report,"Considering training costs, we opted to use the higher-quality 7 trillion token dataset for training larger models, leaving further exploration for future model iterations.",https://arxiv.org/pdf/2407.10671,2026-09-24T18:18:19,N,qwen2_report,"The smaller models, specifically Qwen2-0.5B and Qwen2-1.5B, are designed for easy deployment on portable devices such as smartphones, earphones, and smart glasses.",https://arxiv.org/pdf/2407.10671,2026-09-24T18:18:19,DEV,qwen2_report,"Conversely, the larger models cater to deployment across GPUs of varying scales.",https://arxiv.org/pdf/2407.10671,2026-09-24T18:18:19,SYN,qwen2_report,"Moreover, these models are utilized to synthesize high-quality pre-training data.",https://arxiv.org/pdf/2407.10671,2026-09-24T18:18:19,,,,,,,,,,
Qwen2.5,common-budget,Qwen2.5,Alibaba,Qwen2.5-0.5B; Qwen2.5-1.5B; Qwen2.5-3B; Qwen2.5-7B; Qwen2.5-14B; Qwen2.5-32B; Qwen2.5-72B,cap or choice,size only,free,,cap or choice,0,,0,1,1,0,1,1,4,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"Corpus size only ('up to 18 trillion'); the tokens each member processed are not stated (R1 minor 12), so the common-budget classification itself is unaudited.",cap or choice,cap or choice,size only,size only,free,free,,not stated,cap or choice,cap or choice,0,0,0,0,1,1,1,1,0,0,1,1,agreed (coded identically by A and B),,,D,qwen25_blog,"all models are pretrained on our latest large-scale dataset, encompassing up to 18 trillion tokens.",https://qwenlm.github.io/blog/qwen2.5/,2026-09-24T18:17:55,INF,qwen25_report,"Qwen2.5 brings back the 3B, 14B, and 32B models, which are more cost-effective for resource-limited scenarios",https://arxiv.org/pdf/2412.15115,2026-09-24T18:17:54,DEV,qwen25_report,These enhancements make them particularly well-suited for edge-side applications in highly resource-constrained environments.,https://arxiv.org/pdf/2412.15115,2026-09-24T18:17:54,SYN,qwen25_report,"To generate high-quality synthetic data, particularly in mathematics, code, and knowledge domains, we leverage both Qwen2-72B-Instruct",https://arxiv.org/pdf/2412.15115,2026-09-24T18:17:54,,,,,,,,,,,,,,,
Qwen3,common-budget,Qwen3,Alibaba,Qwen3-0.6B-Base; Qwen3-1.7B-Base; Qwen3-4B-Base; Qwen3-8B-Base; Qwen3-14B-Base,cap or choice,size only,free,,cap or choice,0,,0,0,1,0,1,1,4,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"Corpus size only. Data expansion (PDF extraction, synthesis) is corpus-building effort, not evidence that the corpus bound (protocol 5.1; R1 minor 12). The 0.6B-8B are called edge-side models.",cap or choice,cap or choice,size only,size only,free,free,,not stated,cap or choice,cap or choice,0,0,0,0,0,0,1,1,0,0,1,1,agreed (coded identically by A and B),,,D,qwen3_report,"All Qwen3 models are trained on a large and diverse dataset consisting of 119 languages and dialects, with a total of 36 trillion tokens.",https://arxiv.org/pdf/2505.09388,2026-09-24T18:17:57,DEV,qwen3_report,"For edge-side models, we take similar-sized Qwen2.5, Llama-3, and Gemma-3 base models as the baselines.",https://arxiv.org/pdf/2505.09388,2026-09-24T18:17:57,SYN,qwen3_report,"models to synthesize trillions of text tokens in different formats, including textbooks, question-answering, instructions, and code snippets",https://arxiv.org/pdf/2505.09388,2026-09-24T18:17:57,NONEV,qwen3_report,"To efficiently expand the training data, we employ a multi-modal approach: Qwen2.5-VL (Bai et al., 2025) is finetuned to extract text from extensive PDF documents.",https://arxiv.org/pdf/2505.09388,2026-09-24T18:17:57,,,,,,,,,,,,,,,
SmolLM#1,common-budget,SmolLM,Hugging Face,SmolLM-135M; SmolLM-360M,cap or choice,C2 and K1,free,,cap or choice,0,,0,1,1,0,1,1,7,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"C2: 600B tokens from a corpus of 28 + 4 + 220 = 252B unique tokens (about 2.4 passes); K1: the length was set where gains slowed. Both kinds of evidence, so 'cap or choice' (protocol 5.1); the repetition itself makes the share a lower bound.",cap or choice,cap or choice,C2 and K1,C2 and K1/K3 both,free,free,,not stated,cap or choice,cap or choice,0,1,0,0,1,1,1,1,0,0,1,1,"own_cap: The repetition (600B tokens over a stated 252B-token corpus, about 2.4 passes) concerns both members and is coded in the reading as C2 (both coders). Convention of coder A. Because every member repeated its corpus, each member's own cap binds whatever the reading of the token margin, so the unit is a lower bound also under the 'point if choice' sensitivity (readings.id_class, reviewer correction).","own_cap: protocol Section 6, last bullet",own_cap,D,smollm_blog,"135M and 360M models, each trained on 600B tokens from Smollm-Corpus",https://huggingface.co/blog/smollm,2026-09-24T18:25:55,D,smollm_blog,Cosmopedia v2 : A collection of synthetic textbooks and stories generated by Mixtral (28B tokens) Python-Edu : educational Python samples from The Stack (4B tokens),https://huggingface.co/blog/smollm,2026-09-24T18:25:55,D,smollm_blog,In Smollm-Corpus we include 220B deduplicated tokens from FineWeb.,https://huggingface.co/blog/smollm,2026-09-24T18:25:55,D,smollm_blog,"Therefore, we decided to train the 1.7B model on 1 trillion tokens and the 135M and 360M models on 600B tokens, as the performance gains after 400B tokens begin to slow on some benchmarks for these smaller models.",https://huggingface.co/blog/smollm,2026-09-24T18:25:55,DEV,smollm_blog,Our models are designed to be small and can run locally on various hardware configurations.,https://huggingface.co/blog/smollm,2026-09-24T18:25:55,INF,smollm_blog,These approaches enable novel applications while dramatically reducing inference costs and improving user privacy.,https://huggingface.co/blog/smollm,2026-09-24T18:25:55,SYN,smollm_blog,A collection of synthetic textbooks and stories generated by Mixtral,https://huggingface.co/blog/smollm,2026-09-24T18:25:55
StableLM-alpha,common-budget,StableLM-alpha,Stability AI,stablelm-base-alpha-3b; stablelm-base-alpha-7b,choice,K2,free,,choice,0,,0,0,0,1,0,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),800B tokens of a 1.5T dataset (K2).,choice,choice,K2,K2,free,free,,not stated,choice,choice,0,0,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,D,stablelm_github,"StableLM-Alpha models are trained on a new dataset that builds on [The Pile](https://pile.eleuther.ai/), which contains 1.5 trillion tokens, roughly 3x the size of The Pile.",https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,2026-09-24T18:18:06,D,stablelm_github,"| 3B | [checkpoint](https://huggingface.co/stabilityai/stablelm-base-alpha-3b/) | [checkpoint](https://huggingface.co/stabilityai/stablelm-tuned-alpha-3b/) | 800B | 3,638,525,952 |",https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,2026-09-24T18:18:06,,,,,,,,,,,,,,,,,,,,,,,,,
Yi,common-budget,Yi,01.AI,Yi-6B; Yi-34B,choice,K1; K2,menu,24G consumer GPU (34B),menu,0,,0,1,1,0,1,0,5,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),The budget is stated as set for compute (K1) and preferred over 10T unfiltered tokens (K2); 'not saturated' is not cap evidence. The 34B's size was set by a 24G memory limit (menu). Report gives 3.1T; the analysis keeps 3T (model card; X8(m)).,choice,choice,K1; K2,K1,menu,menu,24G consumer GPU (34B),"consumer GPU memory (RTX 4090, 24G)",menu,menu,0,0,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,D,yi_report,we increase the pretrain data scale to 3.1T tokens to compensate for the decreased compute flops.,https://arxiv.org/pdf/2403.04652,2026-09-24T18:18:01,D,yi_report,we prefer 3T tokens over sophasticated engineering over 10T tokens without extensive filtering.,https://arxiv.org/pdf/2403.04652,2026-09-24T18:18:01,N,yi_report,"when choosing model scale, the desiderata is to have small enough model that is feasible for inference on consumer-grade hardware like the RTX 4090 where the bounding factor is its limited 24G memory",https://arxiv.org/pdf/2403.04652,2026-09-24T18:18:01,INF,yi_report,"The benefit is from the inference side, as we achieve stronger performance with reduced serving cost",https://arxiv.org/pdf/2403.04652,2026-09-24T18:18:01,NONEV,yi_report,"Our model is trained on 3.1T tokens, yet we belive with larger amount of data, we can continue improve the model performance (i.e., the model have not saturated at 3.1T)",https://arxiv.org/pdf/2403.04652,2026-09-24T18:18:01,,,,,,,,,,
B:cerebras/btlm-3b-8k-base,singleton,BTLM,Cerebras,btlm-3b-8k-base,,,,,,0,,0,1,1,0,1,0,3,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),627B tokens of the 627B-token SlimPajama (one pass).,,,,,,,,,,,0,0,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,DEV,btlm_blog,BTLM fits in mobile and edge devices with as little as 3GB of memory,https://www.cerebras.ai/blog/btlm-3b-8k-7b-performance-in-a-3-billion-parameter-model,2026-09-24T18:26:11,INF,btlm_blog,BTLM-3B has a 58% smaller memory footprint and 2x faster inference than 7B models.,https://www.cerebras.ai/blog/btlm-3b-8k-7b-performance-in-a-3-billion-parameter-model,2026-09-24T18:26:11,NONEV,btlm_blog,The model was trained on 627B tokens from the SlimPajama dataset,https://www.cerebras.ai/blog/btlm-3b-8k-7b-performance-in-a-3-billion-parameter-model,2026-09-24T18:26:11,,,,,,,,,,,,,,,,,,,,
B:tiiuae/falcon-11B,singleton,Falcon2,TII,falcon-11B,,,,,,0,,0,1,1,0,1,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),,,,,,,,,,,,0,0,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,INF,falcon2_news,"developers are recognizing the myriad benefits of smaller, more efficient models. In addition to reducing computing power requirements",https://falconllm.tii.ae/falcon-2.html,2026-09-24T18:25:58,DEV,falcon2_news,"these models can run efficiently on just one graphics processing unit (GPU), making them highly scalable, and easy to deploy and integrate into lighter infrastructures like laptops",https://falconllm.tii.ae/falcon-2.html,2026-09-24T18:25:58,,,,,,,,,,,,,,,,,,,,,,,,,
B:tiiuae/Falcon3-7B-Base,singleton,Falcon3,TII,Falcon3-7B-Base,,,,,,0,,0,0,0,1,0,0,1,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),No sizing rationale for the 7B (the compact 1B and 3B are distilled).,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,NONEV,falcon3_blog,The Falcon3-7B-Base is trained on the largest amount of data ensuring comprehensive coverage of concepts and knowledge,https://huggingface.co/blog/falcon3,2026-09-24T18:25:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B:google/gemma-2-27b,singleton,Gemma-2,Google,gemma-2-27b,,,,,,0,,0,1,1,0,1,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),,,,,,,,,,,,0,0,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,DEV,gemma2_blog,The 27B Gemma 2 model is designed to run inference efficiently at full precision on a single Google Cloud TPU host,https://blog.google/technology/developers/google-gemma-2/,2026-09-24T18:25:33,INF,gemma2_blog,"And that’s now achievable on a single NVIDIA H100 Tensor Core GPU or TPU host, significantly reducing deployment costs.",https://blog.google/technology/developers/google-gemma-2/,2026-09-24T18:25:33,,,,,,,,,,,,,,,,,,,,,,,,,
B:h2oai/h2o-danube-1.8b-base,singleton,H2O-Danube1,H2O.ai,h2o-danube-1.8b-base,,,,,,0,,0,0,0,1,0,0,0,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),Only the model card is saved; it states no rationale or data detail.,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B:m-a-p/neo_7b,singleton,MAP-Neo,M-A-P,neo_7b,,,,,,0,,0,0,0,1,0,0,0,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),The saved README states no rationale or repetition.,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B:marin-community/marin-8b-base,singleton,Marin,Marin,marin-8b-base,,,,,,0,,0,0,0,1,0,1,1,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),Dolmino-Mix-1124 (with MathCoder2 Synthetic) enters the cooldown data.,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,agreed (coded identically by A and B),,,SYN,marin_card,[MathCoder2 Synthetic](https://arxiv.org/abs/2310.03731),https://huggingface.co/marin-community/marin-8b-base/raw/main/README.md,2026-09-24T18:26:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B:allenai/OLMo-7B-0424-hf,singleton,OLMo-1.7,AI2,OLMo-7B-0424-hf,,,,,,0,,0,0,0,1,0,0,0,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),No saved source for OLMo 1.7; every variable 'not stated'.,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B:microsoft/phi-1_5,singleton,Phi-1.5,Microsoft,phi-1_5,,,,,,1,C2,0,0,0,1,0,1,4,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),150B tokens from a 30B-token dataset (5 passes). Research rationale only.,,,,,,,,,,,1,1,0,0,0,0,0,0,1,1,1,1,agreed (coded identically by A and B),,,CAP,phi15_card,Dataset size: 30B tokens,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md,2026-09-24T18:26:14,CAP,phi15_card,Training tokens: 150B tokens,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md,2026-09-24T18:26:14,SYN,phi15_card,augmented with a new data source that consists of various NLP synthetic texts.,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md,2026-09-24T18:26:14,NONEV,phi15_card,The intention behind crafting this open-source model is to provide the research community with a non-restricted small model,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md,2026-09-24T18:26:14,,,,,,,,,,,,,,,
B:microsoft/phi-2,singleton,Phi-2,Microsoft,phi-2,,,,,,1,C2,0,0,0,1,0,1,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),Multiple passes stated.,,,,,,,,,,,1,1,0,0,0,0,0,0,1,1,1,1,agreed (coded identically by A and B),,,CAP,phi2_blog,trained on 1.4T tokens from multiple passes on a mixture of Synthetic and Web datasets for NLP and coding.,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,2026-09-24T18:25:46,SYN,phi2_blog,Our training data mixture contains synthetic datasets specifically created to teach the model common sense reasoning and general knowledge,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,2026-09-24T18:25:46,,,,,,,,,,,,,,,,,,,,,,,,,
B:HuggingFaceTB/SmolLM3-3B-Base,singleton,SmolLM3,Hugging Face,SmolLM3-3B-Base,,,,,,0,,0,1,0,0,1,1,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,1,1,agreed (coded identically by A and B),,,INF,smollm3_blog,Small language models are becoming increasingly important as users seek capable models that can be deployed efficiently.,https://huggingface.co/blog/smollm3,2026-09-24T18:25:56,SYN,smollm3_blog,"MegaMath (including Qwen Q&A, Pro synthetic rewrites, and text-code interleaved blocks)",https://huggingface.co/blog/smollm3,2026-09-24T18:25:56,,,,,,,,,,,,,,,,,,,,,,,,,
B:stabilityai/stablelm-2-1_6b,singleton,StableLM-2,Stability AI,stablelm-2-1_6b,,,,,,0,,0,1,1,0,1,0,3,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),Selected sources upsampled (several epochs) and others subsampled; not repetition of the corpus.,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,"R_INF: The report states a benefit of the model's small size for inference compute: 'available directly on-device without the computational overhead of larger models', followed by 'a great balance between remarkable efficiency and effectiveness in inference tasks'. Amendment 3's example ('it is also fast during inference') is of this kind. R_DEV = 1 for both coders, so the deployment rationale is unchanged. Coder B.","R_INF: protocol Section 7, R-INF, with Amendment 3 (a stated benefit of the size counts)",R_INF,DEV,stablelm2_report,"Given its appealing small size, we also provide throughput measurements on a number of edge devices.",https://arxiv.org/pdf/2402.17834,2026-09-24T18:26:06,NONEV,stablelm2_report,"Similarly, if epochs are below one, the number of tokens shown is a subset of the total dataset.",https://arxiv.org/pdf/2402.17834,2026-09-24T18:26:06,INF,stablelm2_report,This model represents a substantial leap towards making advanced generation capabilities available directly on-device without the computational overhead of larger models.,https://arxiv.org/pdf/2402.17834,2026-09-24T18:26:06,,,,,,,,,,,,,,,,,,,,
B:stabilityai/stablelm-3b-4e1t,singleton,StableLM-3B-4E1T,Stability AI,stablelm-3b-4e1t,,,,,,1,C2,0,0,0,1,0,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),Four epochs of a 1T corpus. The token count follows de Vries (2023); no inference or device reason is stated.,,,,,,,,,,,1,1,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,CAP,stablelm_github,we train on 1 trillion (1T) tokens for 4 epochs,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,2026-09-24T18:18:06,NONEV,stablelm_github,"Further inspiration for the token count is taken from ""Go smol or go home""",https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,2026-09-24T18:18:06,,,,,,,,,,,,,,,,,,,,,,,,,
B:stabilityai/stablelm-base-alpha-7b-v2,singleton,StableLM-alpha-v2,Stability AI,stablelm-base-alpha-7b-v2,,,,,,0,,0,0,0,1,0,0,1,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,NONEV,stablelm_github,scheduling 1 trillion tokens at context length 2048 followed by 100 billion tokens at 4096.,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,2026-09-24T18:18:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B:TinyLlama/TinyLlama_v1.1,singleton,TinyLlama,TinyLlama,TinyLlama_v1.1,,,,,,1,C2 (Amendment 2: frame budget 2T),0,1,1,0,1,0,4,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"The README describes the project's 3T run over a 950B-token dataset; v1.1's 2T budget (frame) is about two passes over the same data sources, which the saved README does not state for v1.1 itself.",,,,,,,,,,,1,1,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,CAP,tinyllama_readme,| Combined Dataset Size | Around 950B tokens |,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,2026-09-24T18:26:07,CAP,tinyllama_readme,| Total Tokens During Training | 3 trillion (slightly more than 3 epochs/1430k steps) |,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,2026-09-24T18:26:07,DEV,tinyllama_readme,This compactness allows it to cater to a multitude of applications demanding a restricted computation and memory footprint.,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,2026-09-24T18:26:07,INF,tinyllama_readme,The fact that TinyLlama is a relatively small model with grouped query attention means it is also fast during inference.,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,2026-09-24T18:26:07,,,,,,,,,,,,,,,
B:tiiuae/falcon-180B,size-specific member,Falcon,TII,falcon-180B,,,,,,1,C1/C3 (Amendment 1),1,0,0,0,0,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),The 40B and 180B budgets were partly set by the data available at the time.,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,agreed (coded identically by A and B),,,CAP,falcon_report,"At the time, this decision was partially motivated by constraints over data availability: we elected early on to strictly stick to a single epoch of training, and the total stock of RefinedWeb tokens was unknown to us when we started training",https://arxiv.org/pdf/2311.16867,2026-09-24T18:18:29,CO,falcon_report,"While our 7B follows a similar idea, our 40B and 180B models are trained closer to the pretraining optimality suggested by Hoffmann et al. (2022).",https://arxiv.org/pdf/2311.16867,2026-09-24T18:18:29,,,,,,,,,,,,,,,,,,,,,,,,,
B:tiiuae/falcon-40b,size-specific member,Falcon,TII,falcon-40b,,,,,,1,C1/C3 (Amendment 1),1,0,0,0,0,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),As Falcon-180B.,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,agreed (coded identically by A and B),,,CAP,falcon_report,"At the time, this decision was partially motivated by constraints over data availability: we elected early on to strictly stick to a single epoch of training, and the total stock of RefinedWeb tokens was unknown to us when we started training",https://arxiv.org/pdf/2311.16867,2026-09-24T18:18:29,CO,falcon_report,"While our 7B follows a similar idea, our 40B and 180B models are trained closer to the pretraining optimality suggested by Hoffmann et al. (2022).",https://arxiv.org/pdf/2311.16867,2026-09-24T18:18:29,,,,,,,,,,,,,,,,,,,,,,,,,
B:tiiuae/falcon-7b,size-specific member,Falcon,TII,falcon-7b,,,,,,0,,0,1,1,0,1,0,3,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),The 7B follows the idea of decoupling training and inference compute by longer training.,,,,,,,,,,,0,0,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,INF,falcon_report,"Under that paradigm, inference costs can become predominant, shadowing pretraining costs",https://arxiv.org/pdf/2311.16867,2026-09-24T18:18:29,INF,falcon_report,While our 7B follows a similar idea,https://arxiv.org/pdf/2311.16867,2026-09-24T18:18:29,DEV,falcon_report,"Falcon-7B can efficiently run on consumer hardware (e.g., Apple M2)",https://arxiv.org/pdf/2311.16867,2026-09-24T18:18:29,,,,,,,,,,,,,,,,,,,,
B:google/gemma-2b,size-specific member,Gemma,Google,gemma-2b,,,,,,0,,0,0,1,0,1,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,agreed (coded identically by A and B),,,DEV,gemma_report,and a 2 billion param- eter model for CPU and on-device applications.,https://arxiv.org/pdf/2403.08295,2026-09-24T18:18:27,DEV,gemma_report,Each size is designed to address different compu- tational,https://arxiv.org/pdf/2403.08295,2026-09-24T18:18:27,,,,,,,,,,,,,,,,,,,,,,,,,
B:google/gemma-7b,size-specific member,Gemma,Google,gemma-7b,,,,,,0,,0,1,1,0,1,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),,,,,,,,,,,,0,0,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,INF,gemma_report,a 7 billion param- eter model for efficient deployment and develop- ment on GPU and TPU,https://arxiv.org/pdf/2403.08295,2026-09-24T18:18:27,DEV,gemma_report,Each size is designed to address different compu- tational,https://arxiv.org/pdf/2403.08295,2026-09-24T18:18:27,,,,,,,,,,,,,,,,,,,,,,,,,
B:h2oai/h2o-danube3-4b-base,size-specific member,H2O-Danube3,H2O.ai,h2o-danube3-4b-base,,,,,,0,,0,1,1,0,1,1,3,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),Synthetic by label ('synthetic texts' in later stages).,,,,,,,,,,,0,0,0,0,1,1,1,1,0,0,1,1,agreed (coded identically by A and B),,,INF,danube3_report,particularly aiming at efficient inference on consumer hardware and edge devices also allowing for full offline applications.,https://arxiv.org/pdf/2407.09276,2026-09-24T18:18:30,DEV,danube3_report,"H2O-Danube3 can be efficiently run on a modern smartphone, enabling local inference",https://arxiv.org/pdf/2407.09276,2026-09-24T18:18:30,SYN,danube3_report,synthetic texts and other higher quality textual data is increasing.,https://arxiv.org/pdf/2407.09276,2026-09-24T18:18:30,,,,,,,,,,,,,,,,,,,,
