unit,unit_kind,members,D_margin,D_rule,N_margin,N_rule,reading,own_cap,own_cap_members,R_CO,R_INF,R_DEV,R_NONE,synthetic,quote_1,quote_2,quote_3,quote_4,quote_5,quote_6,quote_7,quote_8,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,url_1,url_2,url_3,url_4,url_5,url_6,url_7,url_8,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,quote_role_1,quote_role_2,quote_role_3,quote_role_4,quote_role_5,quote_role_6,quote_role_7,quote_role_8,protocol_version,coder,note
Qwen#2,common-budget,Qwen-14B; Qwen-72B,cap or choice,size only,free,not stated,cap or choice,0,,0,0,0,1,0,"Finally, we have built a dataset of up to 3 trillion tokens.",which are trained on 3T tokens and support 32k context,,,,,,,qwen_report,qwen_readme,,,,,,,https://arxiv.org/pdf/2309.16609,https://raw.githubusercontent.com/QwenLM/Qwen/main/README.md,,,,,,,2026-09-24T18:18:21,2026-09-24T18:26:22,,,,,,,D,D,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Budget (3T for 14B and 72B) equals the stated dataset; no C or K evidence (7B and 1.8B used fewer tokens). Borderline rationale not coded: 'providing more comprehensive and powerful LLMs at developer- or application-friendly scales' names no device, memory or inference cost."
Qwen2#1,common-budget,Qwen2-1.5B; Qwen2-7B; Qwen2-72B,choice,K1; K3,menu,"consumer devices (smartphones, earphones, smart glasses) for Qwen2-1.5B",menu,0,,0,0,1,0,1,"Considering training costs, we opted to use the higher-quality 7 trillion token dataset for training larger models, leaving further exploration for future model iterations.",An attempt to further relax the quality threshold resulted in a 12 trillion token dataset.,Qwen2-0.5B were pre-trained using the 12 trillion token dataset.,"The smaller models, specifically Qwen2-0.5B and Qwen2-1.5B, are designed for easy deployment on portable devices such as smartphones, earphones, and smart glasses.","Conversely, the larger models cater to deployment across GPUs of varying scales.","Moreover, these models are utilized to synthesize high-quality pre-training data.",,,qwen2_report,qwen2_report,qwen2_report,qwen2_report,qwen2_report,qwen2_report,,,https://arxiv.org/pdf/2407.10671,https://arxiv.org/pdf/2407.10671,https://arxiv.org/pdf/2407.10671,https://arxiv.org/pdf/2407.10671,https://arxiv.org/pdf/2407.10671,https://arxiv.org/pdf/2407.10671,,,2026-09-24T18:18:19,2026-09-24T18:18:19,2026-09-24T18:18:19,2026-09-24T18:18:19,2026-09-24T18:18:19,2026-09-24T18:18:19,,,D,D,D,N+R_DEV,R_DEV,synthetic,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,K1 (training costs) and K3 (the 0.5B trained on the 12T relaxed-threshold dataset). Menu read from the named consumer devices for the 1.5B member; a reader who treats this as a general on-device statement would code N free (reading choice).
Qwen2.5,common-budget,Qwen2.5-0.5B; Qwen2.5-1.5B; Qwen2.5-3B; Qwen2.5-7B; Qwen2.5-14B; Qwen2.5-32B; Qwen2.5-72B,cap or choice,size only,free,not stated,cap or choice,0,,0,1,1,0,1,"we have developed a larger and higher-quality pre-training dataset, expanding from the 7 trillion tokens used in Qwen2 (Yang et al., 2024a) to 18 trillion tokens.","all models are pretrained on our latest large-scale dataset, encompassing up to 18 trillion tokens.","Qwen2.5 brings back the 3B, 14B, and 32B models, which are more cost-effective for resource-limited scenarios","For edge-side models, we compare Qwen2.5-0.5B, 1.5B, and 3B against estab- lished baselines","To generate high-quality synthetic data, particularly in mathematics, code, and knowledge domains, we leverage both Qwen2-72B-Instruct (Yang et al., 2024a) and Qwen2- Math-72B-Instruct",,,,qwen25_report,qwen25_blog,qwen25_report,qwen25_report,qwen25_report,,,,https://arxiv.org/pdf/2412.15115,https://qwenlm.github.io/blog/qwen2.5/,https://arxiv.org/pdf/2412.15115,https://arxiv.org/pdf/2412.15115,https://arxiv.org/pdf/2412.15115,,,,2026-09-24T18:17:54,2026-09-24T18:17:55,2026-09-24T18:17:54,2026-09-24T18:17:54,2026-09-24T18:17:54,,,,D,D,R_INF,R_DEV,synthetic,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Size only: every member trained on the stated 18T dataset; no C or K. 'Edge-side' and 'resource-limited scenarios' are general, not a named device (N free)."
Qwen3,common-budget,Qwen3-0.6B-Base; Qwen3-1.7B-Base; Qwen3-4B-Base; Qwen3-8B-Base; Qwen3-14B-Base,cap or choice,size only,free,not stated,cap or choice,0,,0,0,1,0,1,"All Qwen3 models are trained on a large and diverse dataset consisting of119 languages and dialects, with a total of 36 trillion tokens.","For edge-side models, we take similar-sized Qwen2.5, Llama-3, and Gemma-3 base models as the baselines.","we employ Qwen2.5 (Yang et al., 2024b), Qwen2.5-Math (Yang et al., 2024c), and Qwen2.5-Coder (Hui et al., 2024) models to synthesize trillions of text tokens in different formats",,,,,,qwen3_report,qwen3_report,qwen3_report,,,,,,https://arxiv.org/pdf/2505.09388,https://arxiv.org/pdf/2505.09388,https://arxiv.org/pdf/2505.09388,,,,,,2026-09-24T18:17:57,2026-09-24T18:17:57,2026-09-24T18:17:57,,,,,,D,R_DEV,synthetic,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Size only (36T dataset, all members). Edge-side statement covers the 8B, 4B, 1.7B and 0.6B members."
SmolLM#1,common-budget,SmolLM-135M; SmolLM-360M,cap or choice,C2 and K1/K3 both,free,not stated,cap or choice,1,SmolLM-135M; SmolLM-360M,0,1,1,0,1,Cosmopedia v2 : A collection of synthetic textbooks and stories generated by Mixtral (28B tokens) Python-Edu : educational Python samples from The Stack (4B tokens) FineWeb-Edu (deduplicated) : educational web samples from FineWeb (220B tokens),"135M and 360M models, each trained on 600B tokens from Smollm-Corpus","Therefore, we decided to train the 1.7B model on 1 trillion tokens and the 135M and 360M models on 600B tokens, as the performance gains after 400B tokens begin to slow on some benchmarks for these smaller models.",These approaches enable novel applications while dramatically reducing inference costs and improving user privacy.,Our models are designed to be small and can run locally on various hardware configurations.,"These memory requirements make our models suitable for deployment on a wide range of devices, from smartphones to laptops.",Cosmopedia v2 : A collection of synthetic textbooks and stories generated by Mixtral (28B tokens),,smollm_blog,smollm_blog,smollm_blog,smollm_blog,smollm_blog,smollm_blog,smollm_blog,,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,,2026-09-24T18:25:55,2026-09-24T18:25:55,2026-09-24T18:25:55,2026-09-24T18:25:55,2026-09-24T18:25:55,2026-09-24T18:25:55,2026-09-24T18:25:55,,D+own_cap,D+own_cap,D,R_INF,R_DEV,R_DEV,synthetic,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"C2: stated unique corpus 28B+4B+220B = 252B; budget 600B exceeds it (about 2.4 passes). K1 (stopped where gains slow) and K3 (1.7B on 1T of the same corpus) are also present, so 'cap or choice' with both quotes. N free: the iPhone memory remark says the models are suitable for devices, not that a size was set to fit one."
StableLM-alpha,common-budget,stablelm-base-alpha-3b; stablelm-base-alpha-7b,choice,K2,free,not stated,choice,0,,0,0,0,1,0,StableLM-Alpha models are trained on a new dataset that builds on,"which contains 1.5 trillion tokens, roughly 3x the size of The Pile.","| 800B | 3,638,525,952 |",,,,,,stablelm_github,stablelm_github,stablelm_github,,,,,,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,,,,,,2026-09-24T18:18:06,2026-09-24T18:18:06,2026-09-24T18:18:06,,,,,,D,D,D,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,K2: 800B tokens drawn from a stated 1.5T-token dataset.
Yi,common-budget,Yi-6B; Yi-34B,choice,K1,menu,"consumer GPU memory (RTX 4090, 24G)",menu,0,,0,1,1,0,0,"since 34B is smaller than the conventional 70B used by Chinchilla [30] and LLaMA [77], we increase the pretrain data scale to 3.1T tokens to compensate for the decreased compute flops.","For pretraining, we construct 3.1 trillion tokens of English and Chinese corpora using a cascaded data deduplication and quality filtering pipeline.","when choosing model scale, the desiderata is to have small enough model that is feasible for inference on consumer-grade hardware like the RTX 4090 where the bounding factor is its limited 24G memory","The benefit is from the inference side, as we achieve stronger performance with reduced serving cost",,,,,yi_report,yi_report,yi_report,yi_report,,,,,https://arxiv.org/pdf/2403.04652,https://arxiv.org/pdf/2403.04652,https://arxiv.org/pdf/2403.04652,https://arxiv.org/pdf/2403.04652,,,,,2026-09-24T18:18:01,2026-09-24T18:18:01,2026-09-24T18:18:01,2026-09-24T18:18:01,,,,,D,D,N+R_DEV,R_INF,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"K1 read from 'increase the pretrain data scale ... to compensate for the decreased compute flops' (budget set by the compute given the size). Borderline: the same passage is also 'beyond compute-optimal for inference', which the protocol treats as non-evidence; under that reading D is 'cap or choice' (size only: the 3.1T constructed corpus) and the reading 'cap or choice, menu'. 'we prefer 3T tokens ... over 10T tokens without extensive filtering' is curation, not coded."
B:cerebras/btlm-3b-8k-base,singleton,btlm-3b-8k-base,,,,,,0,,0,1,1,0,0,"Unlike large models like GPT-3 that runs from the cloud, BTLM fits in mobile and edge devices with as little as 3GB of memory","While a 3B model would comfortably fit on almost all mobile devices, prior 3B sized models substantially underperformed their 7B counterparts.",BTLM-3B has a 58% smaller memory footprint and 2x faster inference than 7B models.,,,,,,btlm_blog,btlm_blog,btlm_blog,,,,,,https://www.cerebras.ai/blog/btlm-3b-8k-7b-performance-in-a-3-billion-parameter-model,https://www.cerebras.ai/blog/btlm-3b-8k-7b-performance-in-a-3-billion-parameter-model,https://www.cerebras.ai/blog/btlm-3b-8k-7b-performance-in-a-3-billion-parameter-model,,,,,,2026-09-24T18:26:11,2026-09-24T18:26:11,2026-09-24T18:26:11,,,,,,R_DEV,R_DEV,R_INF,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,No repetition stated (627B tokens from SlimPajama).
B:tiiuae/falcon-11B,singleton,falcon-11B,,,,,,0,,0,1,1,0,0,"these models can run efficiently on just one graphics processing unit (GPU), making them highly scalable, and easy to deploy and integrate into lighter infrastructures like laptops and other devices.","In addition to reducing computing power requirements and meeting sustainability criteria, these models offer enhanced flexibility, seamlessly integrating into edge AI infrastructure",,,,,,,falcon2_news,falcon2_news,,,,,,,https://falconllm.tii.ae/falcon-2.html,https://falconllm.tii.ae/falcon-2.html,,,,,,,2026-09-24T18:25:58,2026-09-24T18:25:58,,,,,,,R_DEV,R_INF,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"R_INF rests on a quoted executive statement about smaller, more efficient models in the release news (borderline)."
B:tiiuae/Falcon3-7B-Base,singleton,Falcon3-7B-Base,,,,,,0,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Not stated. 'Compact and efficient alternatives' singles out Falcon3-1B/3B (not this unit). 14T tokens, no corpus size or repetition stated; no synthetic data documented."
B:google/gemma-2-27b,singleton,gemma-2-27b,,,,,,0,,0,1,1,0,0,"The 27B Gemma 2 model is designed to run inference efficiently at full precision on a single Google Cloud TPU host, NVIDIA A100 80GB Tensor Core GPU , or NVIDIA H100 Tensor Core GPU , significantly reducing costs while maintaining high performance.",,,,,,,,gemma2_blog,,,,,,,,https://blog.google/innovation-and-ai/technology/developers-tools/google-gemma-2/,,,,,,,,2026-09-24T18:25:33,,,,,,,,R_DEV+R_INF,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Only the release blog is saved; no corpus size, repetition or synthetic data stated."
B:h2oai/h2o-danube-1.8b-base,singleton,h2o-danube-1.8b-base,,,,,,0,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Not stated: only the model card is saved (the technical report it cites is not among the saved sources); the card gives no budget, corpus, repetition, rationale or synthetic-data statement."
B:m-a-p/neo_7b,singleton,neo_7b,,,,,,0,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Not stated: README gives 4.5T tokens and a research-transparency purpose only.
B:marin-community/marin-8b-base,singleton,marin-8b-base,,,,,,0,,0,0,0,1,1,Jellyfish (First Cooldown)*: Higher quality data (~Dolmino+Fine Math),MathCoder2 Synthetic,,,,,,,marin_card,marin_card,,,,,,,https://huggingface.co/marin-community/marin-8b-base/raw/main/README.md,https://huggingface.co/marin-community/marin-8b-base/raw/main/README.md,,,,,,,2026-09-24T18:26:03,2026-09-24T18:26:03,,,,,,,synthetic,synthetic,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Synthetic: the Dolmino-Mix-1124 used in the cooldown lists 'MathCoder2 Synthetic'; the generator is not named (coded 1 as for other 'synthetic' sources). No repetition or rationale stated.
B:allenai/OLMo-7B-0424-hf,singleton,OLMo-7B-0424-hf,,,,,,0,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"No saved source concerns this model beyond passing mentions of OLMo-0424 in olmo2_report (data mixing and curricula, stability); all variables not stated."
