model,uid,developer,release_date,N_B,serve_developer,serve_model,serve_ambiguous,serve_model_hi,channel,demo,evidence_origin,evidence_date,lag_days,source_key,url,retrieved,quote,quote_verified,note
Qwen2-1.5B,B:Qwen/Qwen2-1.5B,Alibaba,2024-06-07,1.543714304,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-07-17,40.0,wb_dashscope_qwen_20240717,http://web.archive.org/web/20240717113723id_/https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-7b-14b-72b-api-detailes,2026-09-24T18:25:19,灵积平台上基于Qwen2开源的0.5B、1.5B、7B、72B和57B-A14B MoE模型的instruct版本，并进行了针对性的推理性能优化，为广大开发者提供便捷的API服务,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2-0.5B,B:Qwen/Qwen2-0.5B,Alibaba,2024-06-07,0.494032768,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-07-17,40.0,wb_dashscope_qwen_20240717,http://web.archive.org/web/20240717113723id_/https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-7b-14b-72b-api-detailes,2026-09-24T18:25:19,灵积平台上基于Qwen2开源的0.5B、1.5B、7B、72B和57B-A14B MoE模型的instruct版本，并进行了针对性的推理性能优化，为广大开发者提供便捷的API服务,True,archived first-party catalog (Wayback capture date = evidence date)
Yi-6B,B:01-ai/Yi-6B,01.AI,2023-11-02,6.06103552,0,0,False,0,none documented,0,model,2023-12-15,43.0,yi_readme,https://raw.githubusercontent.com/01-ai/Yi/main/README.md,2026-09-24T18:26:04,Yi APIs (Yi official) - [Early access has been granted](https://x.com/01AI_Yi/status/1735728934560600536?s=20) to some applicants.,True,
Yi-34B,B:01-ai/Yi-34B,01.AI,2023-11-02,34.388917248,0,0,True,1,none documented at release (API early access to some applicants; size unnamed),0,model,2023-12-15,43.0,yi_readme,https://raw.githubusercontent.com/01-ai/Yi/main/README.md,2026-09-24T18:26:04,Yi APIs (Yi official) - [Early access has been granted](https://x.com/01AI_Yi/status/1735728934560600536?s=20) to some applicants.,True,01.AI's API platform opened in 2024; the early-access model is not named
gemma-7b,B:google/gemma-7b,Google,2024-02-21,8.537680896,1,0,False,0,"self-deploy catalog (Vertex AI, GKE)",0,same release,2024-02-21,0.0,gemma_blog,https://blog.google/technology/developers/gemma-open-models/,2026-09-24T18:25:31,"Pre-trained and instruction-tuned Gemma models can run on your laptop, workstation, or Google Cloud with easy deployment on Vertex AI and Google Kubernetes Engine (GKE).",True,the customer rents the accelerators; Google does not serve Gemma 1 per token; evidence from the same release (gemma-2b)
gemma-2b,B:google/gemma-2b,Google,2024-02-21,2.506172416,1,0,False,0,"self-deploy catalog (Vertex AI, GKE)",0,model,2024-02-21,0.0,gemma_blog,https://blog.google/technology/developers/gemma-open-models/,2026-09-24T18:25:31,"Pre-trained and instruction-tuned Gemma models can run on your laptop, workstation, or Google Cloud with easy deployment on Vertex AI and Google Kubernetes Engine (GKE).",True,the customer rents the accelerators; Google does not serve Gemma 1 per token
gemma-2-27b,B:google/gemma-2-27b,Google,2024-06-24,27.22712832,1,1,False,1,first-party product (Google AI Studio),0,model,2024-06-27,3.0,gemma2_blog,https://blog.google/technology/developers/google-gemma-2/,2026-09-24T18:25:33,"Gemma 2 is now available in Google AI Studio, so you can test out its full performance capabilities at 27B without hardware requirements.",True,
falcon-180B,B:tiiuae/falcon-180B,TII,2023-09-06,179.52256512,0,0,False,0,research demo (Hugging Face Space),1,model,2023-09-06,0.0,falcon180b_blog,https://huggingface.co/blog/falcon-180b,2026-09-24T18:26:00,interact with the model on the Falcon Chat Demo Space,True,TII operated no first-party API
falcon-40b,B:tiiuae/falcon-40b,TII,2023-03-15,41.83597056,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,no first-party commercial LLM API; Falcon served by third parties
falcon-7b,B:tiiuae/falcon-7b,TII,2023-04-24,7.21718976,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,no first-party commercial LLM API; Falcon served by third parties
phi-2,B:microsoft/phi-2,Microsoft,2023-12-12,2.77968384,1,0,False,0,self-deploy catalog (Azure AI Studio model catalog),0,model,2023-12-12,0.0,phi2_blog,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,2026-09-24T18:25:46,We have made Phi-2 (opens in new tab) available in the Azure AI Studio model catalog to foster research and development on language models.,True,catalog deployment on customer compute; Phi models-as-a-service (per token) began with Phi-3
phi-1_5,B:microsoft/phi-1_5,Microsoft,2023-09-11,1.41827072,1,0,False,0,none (research release),0,model,2023-09-11,0.0,phi15_card,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md,2026-09-24T18:26:14,The intention behind crafting this open-source model is to provide the research community with a non-restricted small model,True,
mpt-30b,B:mosaicml/mpt-30b,MosaicML,2023-06-22,30.0,1,1,False,1,"managed API (MosaicML Inference, per-1K-token pricing)",0,model,2023-06-22,0.0,mpt30b_blog,https://www.databricks.com/blog/mpt-30b,2026-09-24T18:18:05,"Talk to our hosted endpoints for MPT-30B-Instruct (and MPT-7B-Instruct) using our Python API, with standard pricing per-1K-tokens.",True,
mpt-7b,B:mosaicml/mpt-7b,MosaicML,2023-05-05,7.0,1,1,False,1,"managed API (MosaicML Inference, hosted endpoints)",0,model,2023-05-05,0.0,mpt7b_blog,https://www.databricks.com/blog/mpt-7b,2026-09-24T18:18:03,Start with our managed endpoints for models like MPT-7B-Instruct,True,
deepseek-llm-67b-base,B:deepseek-ai/deepseek-llm-67b-base,DeepSeek,2024-01-05,67.0,1,1,False,1,consumer product (DeepSeek Chat),0,model,2023-12-01,-35.0,vb_deepseek_chat_2023,https://venturebeat.com/ai/meet-deepseek-chat-chinas-latest-chatgpt-rival-with-a-67b-model,2026-09-24T18:29:19,Only the 67B version is available through this interface.,True,"dated press report (VentureBeat) two days after the weights release (2023-11-29; the sample date is the report date, 2024-01-05); the API (deepseek-chat) does not name the size"
deepseek-llm-7b-base,B:deepseek-ai/deepseek-llm-7b-base,DeepSeek,2024-01-05,7.0,1,0,False,0,none documented (the chat product served the 67B only),0,model,2023-12-01,-35.0,vb_deepseek_chat_2023,https://venturebeat.com/ai/meet-deepseek-chat-chinas-latest-chatgpt-rival-with-a-67b-model,2026-09-24T18:29:19,Only the 67B version is available through this interface.,True,
stablelm-base-alpha-3b,B:stabilityai/stablelm-base-alpha-3b,Stability AI,2023-04-17,3.638525952,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,LLM releases not offered through a first-party commercial API
stablelm-base-alpha-7b-v2,B:stabilityai/stablelm-base-alpha-7b-v2,Stability AI,2023-08-05,6.889414656,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,LLM releases not offered through a first-party commercial API
stablelm-2-1_6b,B:stabilityai/stablelm-2-1_6b,Stability AI,2024-01-18,1.644515328,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,LLM releases not offered through a first-party commercial API
stablelm-base-alpha-7b,B:stabilityai/stablelm-base-alpha-7b,Stability AI,2023-04-11,7.86935808,0,0,False,0,research demo (Hugging Face Space),1,model,2023-04-20,9.0,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,2026-09-24T18:18:06,"Try to chat with our 7B model, `StableLM-Tuned-Alpha-7B`, on [Hugging Face Spaces]",True,
SmolLM-135M,B:HuggingFaceTB/SmolLM-135M,Hugging Face,2024-07-14,0.134515008,0,0,False,0,none (local/on-device target),0,same release,2024-07-16,2.0,smollm_blog,https://huggingface.co/blog/smollm,2026-09-24T18:25:55,Our models are designed to be small and can run locally on various hardware configurations.,True,evidence from the same release (SmolLM-1.7B)
SmolLM-360M,B:HuggingFaceTB/SmolLM-360M,Hugging Face,2024-07-14,0.36182112,0,0,False,0,none (local/on-device target),0,same release,2024-07-16,2.0,smollm_blog,https://huggingface.co/blog/smollm,2026-09-24T18:25:55,Our models are designed to be small and can run locally on various hardware configurations.,True,evidence from the same release (SmolLM-1.7B)
SmolLM-1.7B,B:HuggingFaceTB/SmolLM-1.7B,Hugging Face,2024-07-16,1.711376384,0,0,False,0,none (local/on-device target),0,model,2024-07-16,0.0,smollm_blog,https://huggingface.co/blog/smollm,2026-09-24T18:25:55,Our models are designed to be small and can run locally on various hardware configurations.,True,
btlm-3b-8k-base,B:cerebras/btlm-3b-8k-base,Cerebras,2023-09-20,3.0,0,0,False,0,none (edge/mobile target),0,model,2023-09-20,0.0,btlm_blog,https://www.cerebras.ai/blog/btlm-3b-8k-7b-performance-in-a-3-billion-parameter-model,2026-09-24T18:26:11,BTLM fits in mobile and edge devices with as little as 3GB of memory,True,
h2o-danube-1.8b-base,B:h2oai/h2o-danube-1.8b-base,H2O.ai,2024-01-23,1.83120128,0,0,False,0,none (on-device target; runs in H2O's on-device app),0,same developer,,,danube3_card,https://huggingface.co/h2oai/h2o-danube3-4b-base/raw/main/README.md,2026-09-24T18:26:13,Can be run natively and fully offline on phones,True,evidence from the same developer (h2o-danube3-4b-base)
h2o-danube3-500m-base,B:h2oai/h2o-danube3-500m-base,H2O.ai,2024-07-04,0.513590784,0,0,False,0,none (on-device target; runs in H2O's on-device app),0,same release,2024-07-04,0.0,danube3_card,https://huggingface.co/h2oai/h2o-danube3-4b-base/raw/main/README.md,2026-09-24T18:26:13,Can be run natively and fully offline on phones,True,evidence from the same release (h2o-danube3-4b-base)
h2o-danube3-4b-base,B:h2oai/h2o-danube3-4b-base,H2O.ai,2024-07-04,3.96183936,0,0,False,0,none (on-device target; runs in H2O's on-device app),0,model,2024-07-04,0.0,danube3_card,https://huggingface.co/h2oai/h2o-danube3-4b-base/raw/main/README.md,2026-09-24T18:26:13,Can be run natively and fully offline on phones,True,
OLMo-1B-hf,B:allenai/OLMo-1B-hf,AI2,2024-02-01,1.176764416,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,"non-profit research institute; models released on Hugging Face (research demo only, coded separately)"
OLMo-7B-hf,B:allenai/OLMo-7B-hf,AI2,2024-02-01,6.888095744,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,"non-profit research institute; models released on Hugging Face (research demo only, coded separately)"
OLMo-7B-0424-hf,B:allenai/OLMo-7B-0424-hf,AI2,2024-04-17,6.888095744,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,"non-profit research institute; models released on Hugging Face (research demo only, coded separately)"
TinyLlama_v1.1,B:TinyLlama/TinyLlama_v1.1,TinyLlama,2024-03-09,1.1,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,academic project release
Qwen2.5-0.5B,B:Qwen/Qwen2.5-0.5B,Alibaba,2024-09-15,0.494032768,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-09-30,15.0,wb_modelstudio_zh_20240930,http://web.archive.org/web/20240930220855id_/https://help.aliyun.com/zh/model-studio/getting-started/models,2026-09-24T18:25:23,限时免费 qwen2.5-1.5b-instruct qwen2.5-0.5b-instruct,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2.5-1.5B,B:Qwen/Qwen2.5-1.5B,Alibaba,2024-09-19,1.543714304,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-09-30,11.0,wb_modelstudio_zh_20240930,http://web.archive.org/web/20240930220855id_/https://help.aliyun.com/zh/model-studio/getting-started/models,2026-09-24T18:25:23,限时免费 qwen2.5-1.5b-instruct qwen2.5-0.5b-instruct,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2.5-3B,B:Qwen/Qwen2.5-3B,Alibaba,2024-09-19,3.085938688,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-09-30,11.0,wb_modelstudio_zh_20240930,http://web.archive.org/web/20240930220855id_/https://help.aliyun.com/zh/model-studio/getting-started/models,2026-09-24T18:25:23,"qwen2.5-3b-instruct 32,768 30,720 限时免费",True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2.5-7B,B:Qwen/Qwen2.5-7B,Alibaba,2024-09-19,7.615616512,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-09-30,11.0,wb_modelstudio_zh_20240930,http://web.archive.org/web/20240930220855id_/https://help.aliyun.com/zh/model-studio/getting-started/models,2026-09-24T18:25:23,qwen2.5-7b-instruct 0.001元 0.002元,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2.5-14B,B:Qwen/Qwen2.5-14B,Alibaba,2024-09-19,14.770033664,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-09-30,11.0,wb_modelstudio_zh_20240930,http://web.archive.org/web/20240930220855id_/https://help.aliyun.com/zh/model-studio/getting-started/models,2026-09-24T18:25:23,qwen2.5-14b-instruct 0.002元 0.006元,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2.5-32B,B:Qwen/Qwen2.5-32B,Alibaba,2024-09-17,32.763876352,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-09-30,13.0,wb_modelstudio_zh_20240930,http://web.archive.org/web/20240930220855id_/https://help.aliyun.com/zh/model-studio/getting-started/models,2026-09-24T18:25:23,qwen2.5-32b-instruct 0.0035元 0.007元,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2.5-72B,B:Qwen/Qwen2.5-72B,Alibaba,2024-09-19,72.706203648,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-09-30,11.0,wb_modelstudio_zh_20240930,http://web.archive.org/web/20240930220855id_/https://help.aliyun.com/zh/model-studio/getting-started/models,2026-09-24T18:25:23,"qwen2.5-72b-instruct 131,072 129,024 8,192 0.004元 0.012元",True,archived first-party catalog (Wayback capture date = evidence date)
Qwen3-0.6B-Base,B:Qwen/Qwen3-0.6B-Base,Alibaba,2025-04-29,0.59604992,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2025-04-29,0.0,wb_modelstudio_zh_20250429,http://web.archive.org/web/20250429142030id_/https://help.aliyun.com/zh/model-studio/models,2026-09-24T18:25:25,"qwen3-0.6b 非思考 30,720 - 0.0012 元",True,archived first-party catalog (Wayback capture date = evidence date)
Qwen3-1.7B-Base,B:Qwen/Qwen3-1.7B-Base,Alibaba,2025-04-29,1.720574976,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2025-04-29,0.0,wb_modelstudio_zh_20250429,http://web.archive.org/web/20250429142030id_/https://help.aliyun.com/zh/model-studio/models,2026-09-24T18:25:25,"qwen3-1.7b 非思考 32,768 30,720 - 0.0012 元",True,archived first-party catalog (Wayback capture date = evidence date)
Qwen3-4B-Base,B:Qwen/Qwen3-4B-Base,Alibaba,2025-04-29,4.022468096,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2025-04-29,0.0,wb_modelstudio_zh_20250429,http://web.archive.org/web/20250429142030id_/https://help.aliyun.com/zh/model-studio/models,2026-09-24T18:25:25,qwen3-4b 非思考 - 0.0003 元 0.0012 元,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen3-8B-Base,B:Qwen/Qwen3-8B-Base,Alibaba,2025-04-29,8.19073536,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2025-04-29,0.0,wb_modelstudio_zh_20250429,http://web.archive.org/web/20250429142030id_/https://help.aliyun.com/zh/model-studio/models,2026-09-24T18:25:25,qwen3-8b 非思考 - 0.0005 元 0.002 元,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen3-14B-Base,B:Qwen/Qwen3-14B-Base,Alibaba,2025-04-29,14.7683072,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2025-04-29,0.0,wb_modelstudio_zh_20250429,http://web.archive.org/web/20250429142030id_/https://help.aliyun.com/zh/model-studio/models,2026-09-24T18:25:25,qwen3-14b 非思考 - 0.001 元 0.004 元,True,archived first-party catalog (Wayback capture date = evidence date)
OLMo-2-0425-1B,B:allenai/OLMo-2-0425-1B,AI2,2025-04-17,1.484916736,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,"non-profit research institute; models released on Hugging Face (research demo only, coded separately)"
OLMo-2-1124-7B,B:allenai/OLMo-2-1124-7B,AI2,2024-12-31,7.298617344,0,0,False,0,none at release (Ai2 Playground from Mar 2025),0,model,2024-11-26,-35.0,olmo2_blog,https://allenai.org/blog/olmo2,2026-09-24T18:25:49,"Play with OLMo 2-Instruct-13B, our most capable OLMo 2 model, in the Ai2 playground.",True,
OLMo-2-1124-13B,B:allenai/OLMo-2-1124-13B,AI2,2024-12-31,13.7161984,0,0,False,0,research demo (Ai2 Playground),1,model,2024-11-26,-35.0,olmo2_blog,https://allenai.org/blog/olmo2,2026-09-24T18:25:49,"Play with OLMo 2-Instruct-13B, our most capable OLMo 2 model, in the Ai2 playground.",True,
OLMo-2-0325-32B,B:allenai/OLMo-2-0325-32B,AI2,2025-03-13,32.234279936,0,0,False,0,research demo (Ai2 Playground),1,model,2025-03-13,0.0,olmo2_32b_blog,https://allenai.org/blog/olmo2-32B,2026-09-24T18:25:51,all models are available on the Ai2 playground,True,
Olmo-3-1025-7B,B:allenai/Olmo-3-1025-7B,AI2,2025-09-12,7.298011136,0,0,False,0,research demo (Ai2 Playground); third-party API (OpenRouter),1,model,2025-11-20,69.0,olmo3_blog,https://allenai.org/blog/olmo3,2026-09-24T18:25:52,Try Olmo 3 on the Ai2 Playground | Use Olmo 3 via OpenRouter,True,API courtesy of inference partners (third party)
Olmo-3-1125-32B,B:allenai/Olmo-3-1125-32B,AI2,2025-11-20,32.233522176,0,0,False,0,research demo (Ai2 Playground); third-party API (OpenRouter),1,model,2025-11-20,0.0,olmo3_blog,https://allenai.org/blog/olmo3,2026-09-24T18:25:52,Try Olmo 3 on the Ai2 Playground | Use Olmo 3 via OpenRouter,True,API courtesy of inference partners (third party)
SmolLM2-135M,B:HuggingFaceTB/SmolLM2-135M,Hugging Face,2024-10-31,0.134515008,0,0,False,0,none (on-device target),0,same release,2024-10-31,0.0,smollm2_card,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md,2026-09-24T18:25:54,They are capable of solving a wide range of tasks while being lightweight enough to run on-device.,True,evidence from the same release (SmolLM2-1.7B)
SmolLM2-360M,B:HuggingFaceTB/SmolLM2-360M,Hugging Face,2024-10-31,0.36182112,0,0,False,0,none (on-device target),0,same release,2024-10-31,0.0,smollm2_card,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md,2026-09-24T18:25:54,They are capable of solving a wide range of tasks while being lightweight enough to run on-device.,True,evidence from the same release (SmolLM2-1.7B)
SmolLM2-1.7B,B:HuggingFaceTB/SmolLM2-1.7B,Hugging Face,2024-10-30,1.711376384,0,0,False,0,none (on-device target),0,model,2024-10-31,1.0,smollm2_card,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md,2026-09-24T18:25:54,They are capable of solving a wide range of tasks while being lightweight enough to run on-device.,True,
SmolLM3-3B-Base,B:HuggingFaceTB/SmolLM3-3B-Base,Hugging Face,2025-06-19,3.075098624,0,0,False,0,none (local/on-device target),0,same developer,,,smollm_blog,https://huggingface.co/blog/smollm,2026-09-24T18:25:55,Our models are designed to be small and can run locally on various hardware configurations.,True,evidence from the same developer (SmolLM-1.7B)
Falcon3-7B-Base,B:tiiuae/Falcon3-7B-Base,TII,2024-12-17,7.455550464,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,no first-party commercial LLM API; Falcon served by third parties
falcon-11B,B:tiiuae/falcon-11B,TII,2024-05-09,11.1028224,0,0,False,0,none documented,0,developer coding (ra2),,,,,,,False,no first-party commercial LLM API; Falcon served by third parties
granite-3.0-2b-base,B:ibm-granite/granite-3.0-2b-base,IBM,2024-10-21,2.533525504,1,1,False,1,managed API (IBM watsonx),0,model,2024-10-21,0.0,granite30_announcement,https://www.ibm.com/new/announcements/ibm-granite-3-0-open-state-of-the-art-enterprise-models,2026-09-24T18:25:44,"Granite 3.0 8B Instruct and Granite 3.0 2B Instruct, as well as both Guardian 3.0 safety models, are available today for commercial use on the IBM watsonx platform",True,
granite-3.0-8b-base,B:ibm-granite/granite-3.0-8b-base,IBM,2024-10-21,8.170835968,1,1,False,1,managed API (IBM watsonx),0,same release,2024-10-21,0.0,granite30_announcement,https://www.ibm.com/new/announcements/ibm-granite-3-0-open-state-of-the-art-enterprise-models,2026-09-24T18:25:44,"Granite 3.0 8B Instruct and Granite 3.0 2B Instruct, as well as both Guardian 3.0 safety models, are available today for commercial use on the IBM watsonx platform",True,evidence from the same release (granite-3.0-2b-base)
Apertus-8B-2509,B:swiss-ai/Apertus-8B-2509,Swiss AI,2025-09-02,8.053338176,0,0,False,0,none (self-deployment; hosting by third parties),0,model,2025-09-02,0.0,apertus_card,https://huggingface.co/swiss-ai/Apertus-70B-2509/raw/main/README.md,2026-09-24T18:26:02,Deployment of the models is directly supported by the newest versions of [Transformers],True,
