uid,model,hf,family,dev,year,drop_step,drop_reason,drop_source,deploy,deploy_source,serve,serve_source,f_dup,f_suite,f_repl,f_moe,f_distilled,f_multimodal,f_instruct_only,f_nontransformer,f_D_undoc,f_m3_distilled,f_synthetic
B:meta-llama/Llama-3.1-70B,Llama-3.1-70B,meta-llama/Llama-3.1-70B,Llama-3.1,Meta,2024,a_dedupe,continued pretraining of the Llama 3 70B run; same N and D,grattafiori2024llama,server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",True,False,False,False,False,False,False,False,False,False,False
B:meta-llama/Llama-3.1-8B,Llama-3.1-8B,meta-llama/Llama-3.1-8B,Llama-3.1,Meta,2024,a_dedupe,continued pretraining (long context) of the Llama 3 8B run; same N and D,grattafiori2024llama; m3 Table 6 notes,server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",True,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen1.5-72B,Qwen1.5-72B,Qwen/Qwen1.5-72B,Qwen1.5,Alibaba,2024,a_dedupe,same N and D as Qwen-72B (ObsScaling); not a separate allocation decision,R2 Major 10,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",True,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen1.5-32B,Qwen1.5-32B,Qwen/Qwen1.5-32B,Qwen1.5,Alibaba,2024,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,True,False,False
B:Qwen/Qwen1.5-14B,Qwen1.5-14B,Qwen/Qwen1.5-14B,Qwen1.5,Alibaba,2024,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,True,False,False
B:Qwen/Qwen1.5-7B,Qwen1.5-7B,Qwen/Qwen1.5-7B,Qwen1.5,Alibaba,2024,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,True,False,False
B:Qwen/Qwen1.5-4B,Qwen1.5-4B,Qwen/Qwen1.5-4B,Qwen1.5,Alibaba,2024,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,True,False,False
B:Qwen/Qwen1.5-1.8B,Qwen1.5-1.8B,Qwen/Qwen1.5-1.8B,Qwen1.5,Alibaba,2024,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,True,False,False
B:Qwen/Qwen1.5-0.5B,Qwen1.5-0.5B,Qwen/Qwen1.5-0.5B,Qwen1.5,Alibaba,2024,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,True,False,False
B:Qwen/Qwen-72B,Qwen-72B,Qwen/Qwen-72B,Qwen,Alibaba,2023,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen-14B,Qwen-14B,Qwen/Qwen-14B,Qwen,Alibaba,2023,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen-7B,Qwen-7B,Qwen/Qwen-7B,Qwen,Alibaba,2023,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2-72B,Qwen2-72B,Qwen/Qwen2-72B,Qwen2,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2-7B,Qwen2-7B,Qwen/Qwen2-7B,Qwen2,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Qwen/Qwen2-1.5B,Qwen2,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Qwen/Qwen2-0.5B,Qwen2,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:deepseek-ai/DeepSeek-V2,DeepSeek-V2,deepseek-ai/DeepSeek-V2,DeepSeek-V2,DeepSeek,2024,c_moe,MoE: 21.0B active / 235.7B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,False,False,False,True,False,False,False,False,False,False,False
B:01-ai/Yi-6B,Yi-6B,01-ai/Yi-6B,Yi,01.AI,2023,,,,server/unspecified,card: no on-device or local statement found,0,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,False,False,False,False,False,False,False,False,False,False,False
B:01-ai/Yi-34B,Yi-34B,01-ai/Yi-34B,Yi,01.AI,2023,,,,server/unspecified,card: no on-device or local statement found,0,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,False,False,False,False,False,False,False,False,False,False,False
B:01-ai/Yi-1.5-34B,Yi-1.5-34B,01-ai/Yi-1.5-34B,Yi-1.5,01.AI,2024,a_dedupe,'continuously pre-trained on Yi with a high-quality corpus of 500B tokens',hf.co/01-ai/Yi-1.5-34B card,server/unspecified,card: no on-device or local statement found,1,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,True,False,False,False,False,False,False,False,False,False,False
B:01-ai/Yi-1.5-9B,Yi-1.5-9B,01-ai/Yi-1.5-9B,Yi-1.5,01.AI,2024,d_distilled_pruned,"continued from Yi-9B, which was depth-upscaled from Yi-6B (derived initialization)",hf.co/01-ai/Yi-1.5-9B card; Yi-9B card,server/unspecified,card: no on-device or local statement found,1,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,False,False,False,False,True,False,False,False,False,False,False
B:01-ai/Yi-1.5-6B,Yi-1.5-6B,01-ai/Yi-1.5-6B,Yi-1.5,01.AI,2024,a_dedupe,'continuously pre-trained on Yi with a high-quality corpus of 500B tokens',hf.co/01-ai/Yi-1.5-6B card,server/unspecified,card: no on-device or local statement found,1,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,True,False,False,False,False,False,False,False,False,False,False
B:google/gemma-7b,gemma-7b,google/gemma-7b,Gemma,Google,2024,,,,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,False,False,False,False,False,False,False
B:google/gemma-2b,gemma-2b,google/gemma-2b,Gemma,Google,2024,,,,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,False,False,False,False,False,False,False
B:google/gemma-2-27b,gemma-2-27b,google/gemma-2-27b,Gemma-2,Google,2024,,,,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,False,False,False,False,False,False,False
B:google/gemma-2-9b,gemma-2-9b,google/gemma-2-9b,Gemma-2,Google,2024,d_distilled_pruned,'we train the 2B and 9B models with knowledge distillation',gemmateam2024gemma2 (arXiv:2408.00118),local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,True,False,False,False,False,True,False
B:google/gemma-2-2b,gemma-2-2b,google/gemma-2-2b,Gemma-2,Google,2024,d_distilled_pruned,'we train the 2B and 9B models with knowledge distillation',gemmateam2024gemma2 (arXiv:2408.00118),local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,True,False,False,False,False,True,False
B:tiiuae/falcon-180B,falcon-180B,tiiuae/falcon-180B,Falcon,TII,2023,,,,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,False,False,False,False,False,False,False,False,False,False
B:tiiuae/falcon-40b,falcon-40b,tiiuae/falcon-40b,Falcon,TII,2023,,,,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,False,False,False,False,False,False,False,False,False,False
B:tiiuae/falcon-7b,falcon-7b,tiiuae/falcon-7b,Falcon,TII,2023,,,,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,False,False,False,False,False,False,False,False,False,False
B:tiiuae/falcon-rw-1b,falcon-rw-1b,tiiuae/falcon-rw-1b,Falcon-RW,TII,2023,b1_research_suite,Falcon-RW-1B: RefinedWeb ablation model trained for 350B tokens (hf.co/tiiuae/falcon-rw-1b card),model card / paper,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,True,False,False,False,False,False,False,False,False,False
B:microsoft/phi-2,phi-2,microsoft/phi-2,Phi-2,Microsoft,2023,,,,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,False,False,False,False,True
B:microsoft/phi-1_5,phi-1_5,microsoft/phi-1_5,Phi-1.5,Microsoft,2023,,,,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,False,False,False,False,True
B:bigscience/bloom-560m,bloom-560m,bigscience/bloom-560m,BLOOM,BigScience,2022,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper,server/unspecified,card: no on-device or local statement found,0,research workshop,False,True,False,False,False,False,False,False,False,False,False
B:bigscience/bloom-1b1,bloom-1b1,bigscience/bloom-1b1,BLOOM,BigScience,2022,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper,server/unspecified,card: no on-device or local statement found,0,research workshop,False,True,False,False,False,False,False,False,False,False,False
B:bigscience/bloom-3b,bloom-3b,bigscience/bloom-3b,BLOOM,BigScience,2022,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper,server/unspecified,card: no on-device or local statement found,0,research workshop,False,True,False,False,False,False,False,False,False,False,False
B:bigscience/bloom-7b1,bloom-7b1,bigscience/bloom-7b1,BLOOM,BigScience,2022,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper,server/unspecified,card: no on-device or local statement found,0,research workshop,False,True,False,False,False,False,False,False,False,False,False
B:bigscience/bloom,bloom,bigscience/bloom,BLOOM,BigScience,2022,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper,server/unspecified,card: no on-device or local statement found,0,research workshop,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/gpt-neox-20b,gpt-neox-20b,EleutherAI/gpt-neox-20b,GPT-Neo/J,EleutherAI,2022,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/gpt-neo-2.7B,gpt-neo-2.7B,EleutherAI/gpt-neo-2.7B,GPT-Neo/J,EleutherAI,2021,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/gpt-neo-1.3B,gpt-neo-1.3B,EleutherAI/gpt-neo-1.3B,GPT-Neo/J,EleutherAI,2021,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/gpt-neo-125m,gpt-neo-125m,EleutherAI/gpt-neo-125m,GPT-Neo/J,EleutherAI,2021,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/gpt-j-6b,gpt-j-6b,EleutherAI/gpt-j-6b,GPT-Neo/J,EleutherAI,2021,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:facebook/opt-6.7b,opt-6.7b,facebook/opt-6.7b,OPT,Meta,2022,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/opt-1.3b,opt-1.3b,facebook/opt-1.3b,OPT,Meta,2022,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/opt-350m,opt-350m,facebook/opt-350m,OPT,Meta,2022,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/opt-13b,opt-13b,facebook/opt-13b,OPT,Meta,2022,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/opt-2.7b,opt-2.7b,facebook/opt-2.7b,OPT,Meta,2022,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/opt-30b,opt-30b,facebook/opt-30b,OPT,Meta,2022,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/opt-125m,opt-125m,facebook/opt-125m,OPT,Meta,2022,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/opt-66b,opt-66b,facebook/opt-66b,OPT,Meta,2022,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:mosaicml/mpt-30b,mpt-30b,mosaicml/mpt-30b,MPT,MosaicML,2023,,,,server/unspecified,card: no on-device or local statement found,1,MosaicML Inference API served MPT (2023; Databricks),False,False,False,False,False,False,False,False,False,False,False
B:mosaicml/mpt-7b,mpt-7b,mosaicml/mpt-7b,MPT,MosaicML,2023,,,,server/unspecified,card: no on-device or local statement found,1,MosaicML Inference API served MPT (2023; Databricks),False,False,False,False,False,False,False,False,False,False,False
B:facebook/xglm-564M,xglm-564M,facebook/xglm-564M,XGLM,Meta,2021,b1_research_suite,XGLM suite: all sizes trained on 500B tokens (hf.co/facebook/xglm-* cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/xglm-1.7B,xglm-1.7B,facebook/xglm-1.7B,XGLM,Meta,2021,b1_research_suite,XGLM suite: all sizes trained on 500B tokens (hf.co/facebook/xglm-* cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/xglm-4.5B,xglm-4.5B,facebook/xglm-4.5B,XGLM,Meta,2021,b1_research_suite,XGLM suite: all sizes trained on 500B tokens (hf.co/facebook/xglm-* cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:facebook/xglm-7.5B,xglm-7.5B,facebook/xglm-7.5B,XGLM,Meta,2021,b1_research_suite,XGLM suite: all sizes trained on 500B tokens (hf.co/facebook/xglm-* cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,True,False,False,False,False,False,False,False,False,False
B:openlm-research/open_llama_3b_v2,open_llama_3b_v2,openlm-research/open_llama_3b_v2,OpenLlamaV2,OpenLM Research,2023,a_dedupe,same N and D as open_llama_3b (v2 retrained on a new mix at the same 1T),hf.co/openlm-research/open_llama_3b_v2,server/unspecified,card: no on-device or local statement found,0,research release,True,False,True,False,False,False,False,False,False,False,False
B:openlm-research/open_llama_7b_v2,open_llama_7b_v2,openlm-research/open_llama_7b_v2,OpenLlamaV2,OpenLM Research,2023,a_dedupe,same N and D as open_llama_7b,hf.co/openlm-research/open_llama_7b_v2,server/unspecified,card: no on-device or local statement found,0,research release,True,False,True,False,False,False,False,False,False,False,False
B:openlm-research/open_llama_7b,open_llama_7b,openlm-research/open_llama_7b,OpenLlama,OpenLM Research,2023,b2_replication,OpenLLaMA: reproduction of LLaMA trained to LLaMA's 1T tokens (hf.co/openlm-research cards),model card,server/unspecified,card: no on-device or local statement found,0,research release,False,False,True,False,False,False,False,False,False,False,False
B:openlm-research/open_llama_3b,open_llama_3b,openlm-research/open_llama_3b,OpenLlama,OpenLM Research,2023,b2_replication,OpenLLaMA: reproduction of LLaMA trained to LLaMA's 1T tokens (hf.co/openlm-research cards),model card,server/unspecified,card: no on-device or local statement found,0,research release,False,False,True,False,False,False,False,False,False,False,False
B:openlm-research/open_llama_13b,open_llama_13b,openlm-research/open_llama_13b,OpenLlama,OpenLM Research,2023,b2_replication,OpenLLaMA: reproduction of LLaMA trained to LLaMA's 1T tokens (hf.co/openlm-research cards),model card,server/unspecified,card: no on-device or local statement found,0,research release,False,False,True,False,False,False,False,False,False,False,False
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,deepseek-ai/deepseek-llm-67b-base,DeepSeek-LLM,DeepSeek,2024,,,,server/unspecified,card: no on-device or local statement found,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,False,False,False,False,False,False,False,False,False,False,False
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-base,DeepSeek-LLM,DeepSeek,2024,,,,server/unspecified,card: no on-device or local statement found,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,False,False,False,False,False,False,False,False,False,False,False
B:deepseek-ai/deepseek-moe-16b-base,deepseek-moe-16b-base,deepseek-ai/deepseek-moe-16b-base,DeepSeek-MoE,DeepSeek,2024,c_moe,MoE: 2.8B active / 16.4B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,False,False,False,True,False,False,False,False,False,False,False
B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,stabilityai/stablelm-base-alpha-3b,StableLM-alpha,Stability AI,2023,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False
B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,stabilityai/stablelm-base-alpha-7b-v2,StableLM-alpha-v2,Stability AI,2023,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False
