cid,source,claim,verdict,method,passed,metric,note
P1.path.num,model_spec/SYNTHESIS P1,"Brute-force argmin of L at fixed C reproduces N*, D*, L*(C) closed forms (4 parameter sets x 4 budgets)",VERIFIED,numeric,True,max rel err 1.9e-07,
MS.SIG.num,model_spec,Finite-difference sigma = dln(D/N)/dln MRTS along numerically traced isoquants equals the closed form and sigma(w),VERIFIED,numeric,True,max rel err 1.4e-10 (50 random points),
L1.num,model_spec Lemma 1,"Brute-force optimum with (omega, psi_N, psi_D) matches n*, y* closed forms; better data -> more N, fewer D, lower D/N at fixed C",VERIFIED,numeric,True,max abs err 1.0e-07; dn*/dpsi_D = 0.5126 vs a = 0.5126,
L1.T,new (Lemma 1 with T>0),"With inference demand (T>0), better data (psi_D up) still lowers tokens per parameter D/N",NEW,numeric,True,D/N: 773.6 -> 765.1,
L1.T.num,new (Lemma A3(vi)),"Brute force at given training compute (C = 1e22, T = 5e12): d ln M/d chi = -2/(alpha+beta+theta_T)",NEW,numeric,True,finite difference -1.45269 vs formula -1.45269 (theta_T = 0.663),
SOC.num,new,Chinchilla (sigma<1): equal-elasticity point minimizes loss on the isocost; CES with sigma = 1.43 > 1: the same FOC point MAXIMIZES loss (corners dominate) => interior compute optima require sigma < 1,NEW,numeric,True,"curvature of lnR along isocost: Chinchilla 0.127 > 0, CES(sigma=1.43) -0.090 < 0",
P4.foc.num,model_spec Prop 4 / SYNTHESIS P6,"Brute-force lifetime-compute minimization: eps_N/eps_D at the optimum = 1 + T/(3D) (30 cases incl. omega != 0); the econometrician's w from (N,D) needs neither omega nor E",VERIFIED,numeric,True,max rel err 7.7e-07; E-shift invariance 1.1e-10,
P4.contam.num,model_spec Prop 4,"Lab with (psi_N, psi_D) = (0.2, 0.5): econometrician's w_hat = w exp(alpha psi_N - beta psi_D) (factor bias read as inference demand)",VERIFIED,numeric,True,"rel err 2.7e-07; w = 2.155, w_hat = 1.924",
D.constr.num,task 2(d),"Brute force with binding D <= Dbar: w = 1/(theta_D + mu) with mu = -dlnC*/dlnDbar, w < 1 when T = 0; binding N <= Nbar: w = (1+nu)(1+T/3D) > 1+T/3D",VERIFIED,numeric,True,max formula err 3.9e-08,
W1.num,new,"w = (M/M*(C))^{(alpha+beta)/2} at 160 random (N,D) for 4 parameter sets (alpha != beta included)",NEW,numeric,True,max rel err 2.7e-15,
W2.num,new / SYNTHESIS P6,C/C_min from the wedge-only formula equals brute-force C/C_min; cosh form exact when alpha = beta,NEW,numeric,True,max rel err 1.3e-14 (cosh 2.4e-15),
P5.DMR.num,"model_spec Prop 1/5, SYNTHESIS P2/P3","Explicit family (a1,b1,kappa) = ((1-a)S, aS, gamma/(a(1-a)S)), S in {0.25, 0.71, 1.5, 4}: identical brute-force optimal paths and frontiers at 6 dates x 7 budgets with factor-augmenting progress; sigma* in (0.33, 0.89) and Hicks-bias magnitudes differ; kappa=1 member = Besiroglu",VERIFIED,numeric,True,"max on-path discrepancy: ln R* 1.2e-14, n* 3.7e-07; bias sign common across S: True",
P5.drift.gen,appendix Prop. A3(i) (reviewer),"Nonparametric drift identity d ln M*/dt = -[sigma*/(1-sigma*)] B_t holds for a non-separable 3-term technology outside the kappa-family (3 progress patterns x 3 budgets, incl. N-using, D-using and near-neutral bias)",NEW,numeric,True,"max rel err 1.3e-06; sigma* in [0.787, 0.789] (kappa-family value 2/(2+al+be) = 0.738)",
P2.rank,SYNTHESIS P2 / model_spec Prop 1,"kappa=1, runs on the optimal path: Jacobian of ln L in (E,lnA,lnB,alpha,beta) has rank 3; grad sigma* lies in its row space only when alpha = beta (else sigma* is identified on-path only by imposing path optimality)",VERIFIED,numeric,True,"rank 3, sv ratio min 1.7e-12; rel. row-space residual of grad sigma*: Besiroglu 0.022, Hoffmann 0.165 (grows with |alpha-beta|), alpha=beta 7.1e-11",
P4S.CEG.num,SYNTHESIS P4,"Counterexample: frontier CEG is exactly constant for technologies with swapped (alpha,beta) (same gamma, same E) and non-constant when gamma or E differ; factor augmentation gives constant CEG = e^{psi_N+psi_D}",FALSE,numeric,True,"sd(ln f): swapped (alpha,beta) same gamma 3.1e-15; gamma differs 0.48; factor-aug ln f = 1.300 = psi_N+psi_D; E differs 1.15",
P4S.CEG.rule,SYNTHESIS P4 / appendix Cor. A2 (reviewer),"At a common allocation rule D = mN, equal E and exponents are necessary but not sufficient for constant CEG: factor augmentation with psi_N != psi_D, or Hicks-neutral change with alpha != beta, gives non-constant CEG; psi_N = psi_D gives e^{2 psi}",FALSE,numeric,True,sd(ln f): psi_N!=psi_D 0.028; psi_N=psi_D 5.5e-15 (ln f = 1.200); Hicks-neutral 0.025,
P2.MC,model_spec Prop 2 / SYNTHESIS P5,"MC (n=400k): OLS slope matches plim under target / exogenous / funding rules; forward-reverse bracket contains gamma under target & exogenous, not under funding",VERIFIED,MC,True,"target: ols 0.078 vs plim 0.079, rev 0.235; exogenous: ols 0.179 vs plim 0.178, rev 0.458; funding: ols 0.248 vs plim 0.247, rev 0.403",
P2.a,SYNTHESIS P5 / new,"Hicks-neutral omega correlated with c leaves the OLS path slope a unbiased; factor-biased chi gives plim a_hat = a + Cov(chi,c)/((alpha+beta)Var c)",VERIFIED,MC,True,"a = 0.5126, a_hat(omega) = 0.5126, a_hat(chi) = 0.5823 vs 0.5823",
P3.sel,model_spec Prop 3,"Release iff y >= ybar, c independent of omega: OLS slope <= gamma for ANY distribution; in [0, gamma] if omega - eps is log-concave; E[omega|c,released] decreasing (normal case)",VERIFIED,MC,True,"normal slopes [0.178, 0.086, 0.044]; bimodal slope -0.023; E[omega|c,rel] decreasing: True; normal slopes in [0,gamma]: True; bimodal slope <= gamma: True; bimodal local CEF slope < 0: True",
P3.net,model_spec Prop 3 (task),"Gaussian model, funding rule pi1 > 0: selected forward slope = delta r V_y/(delta^2 r V_y + V_{c|y}), reverse slope unaffected; net bias > 0 iff r > r* = gamma V_{c|y}/(delta V_y (1 - gamma delta)); both signs occur",NEW,MC,True,r* = 0.499; z=-3: r=0.99 b=0.246; z=+0: r=0.36 b=0.147; z=+1: r=0.20 b=0.096; z=+2: r=0.11 b=0.062,
P3.cex,model_spec Prop 3,"Counterexample: with a funding rule and mild selection E[omega | c, released] is INCREASING in c; the correct statement is about the selection component E[omega|c,rel] - E[omega|c]",IMPRECISE,MC,True,"binned E[omega|c,rel] increasing: True",
P7.MC,SYNTHESIS P7,"Sahal: naive slope = gamma/(1-s_A) with deterministic trends; general gamma[1 + (g_A/g) R^2_{c,t}] with compute noise around trend",VERIFIED,MC,True,sd_u=0.0: 0.2967 vs 0.2967; sd_u=0.5: 0.2943 vs 0.2942; sd_u=2.0: 0.2670 vs 0.2670,
P8.num,SYNTHESIS P8,Hall-type bias (eps_N-eps_D)(dn-dd)/2 matches the equal-weight residual up to a second-order error (Llama-like over-trained point),VERIFIED,numeric,True,error order in step size = 1.99,
INFO.num,new (task 2a),"Efficient Fisher information (9 budgets x 5 transverse offsets): I(sigma*) ~ v^4 (~ sum of squared allocative losses), I(ln M*) ~ v^2 (~ variance of transverse deviations = log wedges), for the path intercept and for ln M* at the design's central compute; both vanish on the expansion path",NEW,numeric,True,"log-log slopes: sigma* 4.00 (theory 4), ln G 2.00, ln M*(C_center) 2.00 (theory 2); exact/leading-order info at smallest v: sigma* 1.000, ln G 1.000, ln M*(C_center) 1.000",
INFO.onpath,model_spec Prop 1 / new,"On-path design: information matrix for (S, a, gamma, lnG, lnK) is singular (S and lnG/a directions have zero information)",VERIFIED,numeric,True,singular values ratio 6.3e-31,
PI.mono,new (task 2b),"Concave + supermodular (F_nd >= 0) technology: w(n0,d0) >= w(nb,db) whenever n0 <= nb, d0 >= db (300 random kappa-family draws); fails without supermodularity (translog counterexample)",NEW,numeric,True,violations 0/300; translog counterexample found: True,
PI.band,new (task 2b),Bootstrap (B=300) of the Besiroglu fit: Var(ln w_hat) at fixed compute is exactly quadratic in ln M with leading coefficient Var(alpha+beta)/4 (bands widen linearly in log-extrapolation distance); at M = 1875 the M*-level uncertainty dominates the curvature (sigma*) uncertainty,NEW,numeric (bootstrap),True,"lead coef ratio 1.000000; at M=1875: sd(ln w) 0.161, from M* alone 0.143, from alpha+beta alone 0.047",
PROXY.num,new (task 2c),Simulated cost-minimizing labs (brute force): ln(D/N) = m0(c) - 2 chi/(alpha+beta) exactly; coefficient on Hicks-neutral omega = 0,NEW,numeric,True,coef chi -2.80269 (theory -2.80269); coef omega -9.9e-10,
LEDGER,SYNTHESIS §2,Recomputed 53 ledger numbers that are pure applications of the verified formulas,VERIFIED,numeric,True,53/53 within rounding tolerance,
