model,hf,dev,year,serve,serve_source,deploy,deploy_source,drop_step,drop_reason,drop_source
mpt-30b,mosaicml/mpt-30b,MosaicML,2023,1,MosaicML Inference API served MPT (2023; Databricks),server/unspecified,card: no on-device or local statement found,,,
mpt-7b,mosaicml/mpt-7b,MosaicML,2023,1,MosaicML Inference API served MPT (2023; Databricks),server/unspecified,card: no on-device or local statement found,,,
xglm-564M,facebook/xglm-564M,Meta,2021,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,XGLM suite: all sizes trained on 500B tokens (hf.co/facebook/xglm-* cards),model card / paper
xglm-1.7B,facebook/xglm-1.7B,Meta,2021,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,XGLM suite: all sizes trained on 500B tokens (hf.co/facebook/xglm-* cards),model card / paper
xglm-4.5B,facebook/xglm-4.5B,Meta,2021,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,XGLM suite: all sizes trained on 500B tokens (hf.co/facebook/xglm-* cards),model card / paper
xglm-7.5B,facebook/xglm-7.5B,Meta,2021,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,XGLM suite: all sizes trained on 500B tokens (hf.co/facebook/xglm-* cards),model card / paper
open_llama_3b_v2,openlm-research/open_llama_3b_v2,OpenLM Research,2023,0,research release,server/unspecified,card: no on-device or local statement found,a_dedupe,same N and D as open_llama_3b (v2 retrained on a new mix at the same 1T),hf.co/openlm-research/open_llama_3b_v2
open_llama_7b_v2,openlm-research/open_llama_7b_v2,OpenLM Research,2023,0,research release,server/unspecified,card: no on-device or local statement found,a_dedupe,same N and D as open_llama_7b,hf.co/openlm-research/open_llama_7b_v2
open_llama_7b,openlm-research/open_llama_7b,OpenLM Research,2023,0,research release,server/unspecified,card: no on-device or local statement found,b2_replication,OpenLLaMA: reproduction of LLaMA trained to LLaMA's 1T tokens (hf.co/openlm-research cards),model card
open_llama_3b,openlm-research/open_llama_3b,OpenLM Research,2023,0,research release,server/unspecified,card: no on-device or local statement found,b2_replication,OpenLLaMA: reproduction of LLaMA trained to LLaMA's 1T tokens (hf.co/openlm-research cards),model card
open_llama_13b,openlm-research/open_llama_13b,OpenLM Research,2023,0,research release,server/unspecified,card: no on-device or local statement found,b2_replication,OpenLLaMA: reproduction of LLaMA trained to LLaMA's 1T tokens (hf.co/openlm-research cards),model card
deepseek-llm-67b-base,deepseek-ai/deepseek-llm-67b-base,DeepSeek,2024,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,server/unspecified,card: no on-device or local statement found,,,
deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-base,DeepSeek,2024,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,server/unspecified,card: no on-device or local statement found,,,
deepseek-moe-16b-base,deepseek-ai/deepseek-moe-16b-base,DeepSeek,2024,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,server/unspecified,card: no on-device or local statement found,c_moe,MoE: 2.8B active / 16.4B total,m3 (card)
stablelm-base-alpha-3b,stabilityai/stablelm-base-alpha-3b,Stability AI,2023,0,LLM releases not offered as a first-party commercial API (API business: image models),server/unspecified,card: no on-device or local statement found,,,
stablelm-base-alpha-7b-v2,stabilityai/stablelm-base-alpha-7b-v2,Stability AI,2023,0,LLM releases not offered as a first-party commercial API (API business: image models),server/unspecified,card: no on-device or local statement found,,,
stablelm-2-1_6b,stabilityai/stablelm-2-1_6b,Stability AI,2024,0,LLM releases not offered as a first-party commercial API (API business: image models),server/unspecified,card: no on-device or local statement found,,,
stablelm-base-alpha-7b,stabilityai/stablelm-base-alpha-7b,Stability AI,2023,0,LLM releases not offered as a first-party commercial API (API business: image models),server/unspecified,card: no on-device or local statement found,,,
rwkv-4-169m-pile,RWKV/rwkv-4-169m-pile,RWKV,2023,0,open research,server/unspecified,card: no on-device or local statement found,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper
rwkv-4-430m-pile,RWKV/rwkv-4-430m-pile,RWKV,2023,0,open research,server/unspecified,card: no on-device or local statement found,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper
rwkv-4-1b5-pile,RWKV/rwkv-4-1b5-pile,RWKV,2023,0,open research,server/unspecified,card: no on-device or local statement found,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper
rwkv-4-7b-pile,RWKV/rwkv-4-7b-pile,RWKV,2023,0,open research,server/unspecified,card: no on-device or local statement found,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper
rwkv-4-14b-pile,RWKV/rwkv-4-14b-pile,RWKV,2023,0,open research,server/unspecified,card: no on-device or local statement found,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper
rwkv-4-3b-pile,RWKV/rwkv-4-3b-pile,RWKV,2023,0,open research,server/unspecified,card: no on-device or local statement found,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper
RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,Together,2023,1,Together AI inference cloud serves RedPajama-INCITE and other models,server/unspecified,card: no on-device or local statement found,b2_replication,RedPajama-INCITE: open reproduction of the LLaMA recipe (hf.co/togethercomputer cards),model card
RedPajama-INCITE-Base-3B-v1,togethercomputer/RedPajama-INCITE-Base-3B-v1,Together,2023,1,Together AI inference cloud serves RedPajama-INCITE and other models,server/unspecified,card: no on-device or local statement found,b2_replication,RedPajama-INCITE: open reproduction of the LLaMA recipe (hf.co/togethercomputer cards),model card
Amber,LLM360/Amber,LLM360,2023,0,research release,server/unspecified,card: no on-device or local statement found,b2_replication,LLM360 Amber: LLaMA-7B replication at 1.26T tokens (hf.co/LLM360/Amber card),model card
codegen-6B-nl,Salesforce/codegen-6B-nl,Salesforce,2022,0,research release,server/unspecified,card: no on-device or local statement found,b1_research_suite,"CodeGen-NL: natural-language stage of the CodeGen code models, all sizes on the Pile (hf.co/Salesforce/codegen-*-nl cards)",model card / paper
codegen-16B-nl,Salesforce/codegen-16B-nl,Salesforce,2022,0,research release,server/unspecified,card: no on-device or local statement found,b1_research_suite,"CodeGen-NL: natural-language stage of the CodeGen code models, all sizes on the Pile (hf.co/Salesforce/codegen-*-nl cards)",model card / paper
SmolLM-135M,HuggingFaceTB/SmolLM-135M,Hugging Face,2024,0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),,,
SmolLM-360M,HuggingFaceTB/SmolLM-360M,Hugging Face,2024,0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),,,
SmolLM-1.7B,HuggingFaceTB/SmolLM-1.7B,Hugging Face,2024,0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),,,
Cerebras-GPT-111M,cerebras/Cerebras-GPT-111M,Cerebras,2023,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",server/unspecified,card: no on-device or local statement found,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper
Cerebras-GPT-256M,cerebras/Cerebras-GPT-256M,Cerebras,2023,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",server/unspecified,card: no on-device or local statement found,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper
Cerebras-GPT-590M,cerebras/Cerebras-GPT-590M,Cerebras,2023,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",server/unspecified,card: no on-device or local statement found,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper
Cerebras-GPT-1.3B,cerebras/Cerebras-GPT-1.3B,Cerebras,2023,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",server/unspecified,card: no on-device or local statement found,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper
Cerebras-GPT-2.7B,cerebras/Cerebras-GPT-2.7B,Cerebras,2023,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",server/unspecified,card: no on-device or local statement found,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper
Cerebras-GPT-6.7B,cerebras/Cerebras-GPT-6.7B,Cerebras,2023,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",server/unspecified,card: no on-device or local statement found,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper
btlm-3b-8k-base,cerebras/btlm-3b-8k-base,Cerebras,2023,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",server/unspecified,card: no on-device or local statement found,,,
h2o-danube-1.8b-base,h2oai/h2o-danube-1.8b-base,H2O.ai,2024,0,enterprise software (h2oGPTe); Danube positioned for on-device use,server/unspecified,card: no on-device or local statement found,,,
h2o-danube2-1.8b-base,h2oai/h2o-danube2-1.8b-base,H2O.ai,2024,0,enterprise software (h2oGPTe); Danube positioned for on-device use,server/unspecified,card: no on-device or local statement found,a_dedupe,'The base model was initialized from H2O-Danube-1.8B' (+2T tokens),"arXiv:2401.16818, Sec. 7"
h2o-danube3-500m-base,h2oai/h2o-danube3-500m-base,H2O.ai,2024,0,enterprise software (h2oGPTe); Danube positioned for on-device use,ondevice,card: 'Can be run natively and fully offline on phones',,,
h2o-danube3-4b-base,h2oai/h2o-danube3-4b-base,H2O.ai,2024,0,enterprise software (h2oGPTe); Danube positioned for on-device use,ondevice,card: 'Can be run natively and fully offline on phones',,,
OLMo-1B-hf,allenai/OLMo-1B-hf,AI2,2024,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
OLMo-7B-hf,allenai/OLMo-7B-hf,AI2,2024,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
OLMo-7B-0424-hf,allenai/OLMo-7B-0424-hf,AI2,2024,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
