cid,result,claim,verdict,method,passed,metric,note
MF.sigma,Prop. A10(ii),"At a compute-optimal point (Y_x=0): 1/sigma*-1 = 2(-Y_xx)/Y_c = 2 L_xx/|dL*/dc| = L_nn|_C/(2|dL*/dc|) for any smooth technology (sigma from the general P/(P+Q) identity, Lemma A2)",NEW,sympy,True,exact,
MF.inv,Prop. A10(ii),"The ratio (output curvature along the isocost)/(frontier slope) is invariant to any strictly monotone transformation of output at the argmin (no E, kappa or functional form), but not away from it",NEW,sympy,True,exact,
MF.slope,Prop. A10(iii),"d ln w/d ln M at fixed C, evaluated at M*(C), equals 1/sigma*-1 for any smooth technology (exact and global in the generalized family)",NEW,sympy,True,exact,
MF.local,Prop. A10(iv),"Local sigma at any point from the second-order expansion of any output in (ln M, ln C): F_nn = Y_cc-2Y_cx+Y_xx, F_dd = Y_cc+2Y_cx+Y_xx, F_nd = Y_cc-Y_xx",NEW,sympy,True,exact,
MF.family,"Prop. A10(ii),(v)","Generalized family: model-free formula returns S/2 = 1/sigma*-1 for every kappa and E; -y_nn|_C = S gamma, and kappa=1 imposes -y_nn|_C = gamma^2/(ab) (curvature pinned by frontier and path slopes)",NEW,sympy,True,max|err| at 12 random points = 2.1e-171; max|err| at 12 random points = 1.0e-171,
QH,Lemma A4(iv),"Generalized family is quasi-homogeneous: R(lambda^{b1}N, lambda^{a1}D) = lambda^{-kappa a1 b1} R(N,D); the wedge is constant along the dilation orbits (the content of the rank-one Hessian; Referee 1, minor 9)",NEW,sympy,True,max|err| at 15 random points = 8.3e-171,
DMR.sign,"Prop. A3(i)-(ii), Remark","Drift of M* signs B = beta g_D - alpha g_N (kappa=1), not g_D - g_N: with (alpha,beta)=(0.30,0.45), (g_N,g_D)=(0.5,0.4), B=+0.03>0 (M* falls) while g_N>g_D",CORRECTED,sympy,True,"B=0.030, g_D-g_N=-0.1","The v1 remark's 'both signs identified' holds only when alpha=beta (Referee 1, comment 8f)."
PI.sign.sym,Prop. A11(iii),"w - 1 = -2Y_x/F_d: with F_d>0, sign(w-1) = -sign(Y_x) = sign(ln M - ln M*(C)) when IsoFLOP profiles are single-peaked (guaranteed by 0<sigma<1 everywhere, Lemma A2)",NEW,sympy,True,exact,
PI.normal,Prop. A11(i),"Normal inputs (N*, D* nondecreasing in C, i.e. a in [0,1]) imply e = d ln M*/d ln C = 1-2a in [-1,1]",NEW,sympy,True,"max/min of 1-2a on [0,1] = 1/-1",
SI.twin,Prop. A1(iii),"On-path outcomes under kappa=1: (alpha,beta) and its twin (beta b/a, alpha a/b) (with A,B relabeled) generate identical data exactly; the truth (alpha a = beta b) is its own twin",NEW,sympy,True,max|err| at 12 random points = 0.0e+00,
GW.num,"Prop. A8(i),(iii)","Brute-force value maximization, 12 conduct cases (lifetime compute; internalized serving with p, phi, eta, R_n; adoption; memory cap; latency SLO and latency cost; data cost; data cap; distillation; MFU x2; deadline): technology w = general formula and case closed forms",NEW,numeric,True,"max rel. err general 1.9e-07, closed forms 1.9e-07",
GW.sign.num,Prop. A8(iv),"At the optimum: memory cap and SLO raise w above 1+T/(3D); data cost, data cap, distillation and a data-parallel deadline lower it",NEW,numeric,True,"mem=True, slo=True, cap=True, cost=True, distil=True, deadline=True",
GW.misspec.num,Prop. A8(ii),Lab optimizes with its own/believed technology L'; the econometrician's w-hat = w * w_L/w_L'; factor bias is the case w_L/w_L' = e^{-chi},NEW,numeric,True,lab FOC err 5.8e-08; w_hat/w under chi=0.3: 0.7408 vs e^-0.3=0.7408,
FAM.num,Prop. A9(ii)-(v),"Family with common D (brute force): sizes fixed -> sum omega_i rho_i = 1+m_D; sizes chosen -> sum pi_i(1+m_N,i) = (1+m_D) w_H and sum pi_i T-hat_i = sum pi_i T_i while member T-hat_i != T_i; binding caps -> upper bound, floors -> lower bound; common D under individual optimization only on the knife-edge T-profile",NEW,numeric,True,"(ii) err 1.1e-09; (iii) pi-avg T-hat/T = 1.000000, member T-hat/T = 0.86, 0.91, 1.06; (iv) caps 1.952>1, floors 0.475<1; (v) knife-edge D_i/Dbar-1 max 6.6e-08, +20% T_2 moves D_2 by +0.04",
MF.sigma.num,Prop. A10(ii),"Model-free 1/sigma*-1 = 2L_xx/|dL*/dc| (finite differences at the IsoFLOP argmin) equals 1/sigma*-1 from isoquant tracing, for Chinchilla (= (alpha+beta)/2) and a non-separable technology, at 3 budgets",NEW,numeric,True,max rel. err 1.8e-08,
MF.inv.num,Prop. A10(ii),"Same value under loss, bits, ln(L-E) with a wrong E, and exp(L) (no E or functional form needed)",NEW,numeric,True,max rel. dev. across transforms 5.5e-08,
MF.w.num,Prop. A10(i),"Model-free w = (L_c-L_x)/(L_c+L_x) from local 2-D finite differences equals the MRTS ratio at off-path points (M/M* from e^-3 to e^4), both technologies",NEW,numeric,True,max rel. err 1.7e-10,
MF.slope.num,Prop. A10(iii),"d ln w/d ln M|_C at M*(C) = 1/sigma*-1 (isoquant-traced), both technologies",NEW,numeric,True,max rel. err 1.2e-09,
FG.num,Remark after Prop. A10,Quadratic fits to IsoFLOP profiles overstate curvature by (f''''/24)kappa4(h) to leading order (so sigma* is understated); a quartic removes the leading term; the argmin shifts by -(f'''/6)(m4/m2)/f'',NEW,numeric,True,lead-order ratio at h=0.05: 1.0000; sigma* bias at a 9x N-span: -0.0026,
QH.num,Lemma A4(iv),Family: w constant along the dilation orbits and the compute-optimal path is a straight line in logs (power-law factor demands); the non-separable technology's path is curved (not quasi-homothetic),NEW,numeric,True,"max 2nd difference of ln M*(C) (half-decade steps): family 7.1e-15, non-separable 4.8e-05",
SI.geom,Prop. A1(iii),"On-path kappa=1 criterion is quartic along every direction in which the two decay rates (alpha a, beta b) move oppositely (quadratic otherwise); sigma* moves at first order along such a direction even when alpha=beta; a zero-weight component leaves its exponent unidentified",CORRECTED,numeric,True,"slopes opposite 4.000-4.000 (theory 4), same 2.000-2.000 (2); zero-weight crit 2e-25; d sigma* slope (alpha=beta) 1.000","v1 said sigma* is first-order identified iff alpha=beta; true only at the true A/B, which on-path data do not identify."
SI.split,Prop. A1(iii)(b),"With the split A/B known (or pinned by the intercept restriction), only the direction (Q,-P) is flat; along it sigma* moves at first order if alpha != beta and not at all if alpha = beta (v1's 'iff alpha=beta' is correct in this case only)",CORRECTED,numeric,True,flat-direction crit slopes 4.000/4.000 (4); other directions 2.000-2.006 (2); along the flat direction d sigma* has log-log slope 1.000 (alpha!=beta) and max |d sigma*|/step 0e+00 (alpha=beta),
INFO.E.num,Prop. A2 (E estimated),"With E unknown and Gaussian noise on ln L, the efficient information is still O(v^4) for S = alpha+beta (hence sigma*) and O(v^2) for ln M* at the design's central compute",NEW,numeric,True,log-log slopes 4.00 (theory 4) and 2.00 (theory 2); E unknown retains 1.00 of the E-known information for S,
DMR.num,"Prop. A3, Remark","Brute force: M* falls over time (Hicks bias B>0, parameter-using) although parameters are augmented faster (g_N > g_D); drift = -2B/S",CORRECTED,numeric,True,drift -0.08000 vs -2B/S -0.08000,
PI.sign.num,Prop. A11(iii),"Non-separable technology: sign(w-1) = sign(ln M - ln M*(C)) at all tested points (7 budgets x 48 ratios), with no functional form or sigma* used",NEW,numeric,True,0 sign errors in 336 points,
PI.sharp.num,Prop. A11(ii),"Continuations of ln M*(C) beyond the largest budget, bending up (parameter augmentation psi_N) or down (data augmentation psi_D), are generated by admissible technologies: argmin shifts by Delta(c), both marginal products positive everywhere, profiles single-peaked, in-support argmins unchanged",NEW,numeric,True,"max |shift - Delta| 4.0e-07 (up), 4.1e-07 (down); in-support change 4.6e-07; positivity True; single-peaked True",
SI.mc,Prop. A1(iii),"Monte Carlo (R=100 per noise level, 5 levels): sigma*-hat from on-path data under kappa=1 converges at tau^{1/2} ~ n^{-1/4} in its upper quantiles (alpha != beta and alpha = beta alike); imposing beta/(alpha+beta)=a restores tau^1 ~ n^{-1/2}",NEW,MC,True,"Hoffmann (alpha != beta): q75 0.48, q90 0.55, restricted q75 0.99; equal exponents (alpha = beta): q75 0.49, q90 0.56, restricted q75 0.99",
PI.illus,"Prop. A11, illustration","Nested assumptions give nested identified sets: the share of verified-sample models whose sign of w-1 is not identified falls weakly from normal inputs to the cross-sweep slope range to monotonicity, and is zero under point extrapolation",NEW,numeric,True,"Chinchilla: 0.69, 0.21, 0.21, 0.16, 0.00; Meta Llama 3: 0.66, 0.18, 0.17, 0.14, 0.00",
